Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,5384,8022,6132,1995,4995,5351
Short-Term Investments,1630,1449,737,586,464,387
Cash & Short-Term Investments,7014,9471,6869,2581,5459,5738
Cash Growth,-22.95%,37.88%,166.14%,-52.72%,-4.86%,58.60%
Receivables,5772,5234,5165,6241,5154,3111
Inventory,5807,5421,5725,5932,4309,3904
Prepaid Expenses,1069,974,976,710,592,454
Other Current Assets,56,120,412,461,593,162
Total Current Assets,19718,21220,19147,15925,16107,13369
"Property, Plant & Equipment",4643,3714,3201,2696,2228,1856
Long-Term Investments,4133,2787,2281,1980,2055,1538
Goodwill,3748,3732,3732,3700,3479,3466
Other Intangible Assets,238,249,294,339,104,153
Long-Term Deferred Tax Assets,1288,2393,1729,1395,1623,1711
Other Long-Term Assets,443,314,345,691,229,260
Total Assets,34211,34409,30729,26726,25825,22353
Accounts Payable,1769,1570,1478,1755,1472,1124
Accrued Expenses,1109,1188,1024,974,987,869
Short-Term Debt,99,99,100,-,-,-
Current Portion of Long-Term Debt,700,700,-,-,-,-
Current Portion of Leases,88,87,186,85,73,64
Current Income Taxes Payable,157,535,282,319,734,222
Current Unearned Revenue,2470,2849,2975,3142,2076,1321
Other Current Liabilities,1491,1440,1327,1104,1002,859
Total Current Liabilities,7883,8468,7372,7379,6344,4459
Long-Term Debt,5463,5460,5461,5457,5452,5448
Long-Term Leases,412,259,252,287,228,195
Pension & Post-Retirement Benefits,152,142,126,107,193,241
Other Long-Term Liabilities,797,1079,1169,1302,1361,1432
Total Liabilities,14707,15408,14380,14532,13578,11775
Common Stock,8,8,8,8,9,9
Additional Paid-In Capital,10090,9660,9131,8593,8247,7904
Retained Earnings,53694,49651,43726,37892,32246,27209
Treasury Stock,-44186,-40150,-36299,-34097,-27995,-24245
Comprehensive Income & Other,-102,-168,-217,-202,-260,-299
Shareholders' Equity,19504,19001,16349,12194,12247,10578
Total Liabilities & Equity,34211,34409,30729,26726,25825,22353
Total Debt,6762,6605,5999,5829,5753,5707
Net Cash (Debt),252,2866,870,-3248,-294,31
Net Cash Growth,-89.64%,229.42%,-,-,-,-
Net Cash Per Share,0.31,3.44,1.03,-3.70,-0.32,0.03
Filing Date Shares Outstanding,796.64,813.68,831.07,844.14,888.51,914.34
Total Common Shares Outstanding,796.64,818,833,844,892,914
Working Capital,11835,12752,11775,8546,9763,8910
Book Value Per Share,24.48,23.23,19.63,14.45,13.73,11.57
Tangible Book Value,15518,15020,12323,8155,8664,6959
Tangible Book Value Per Share,19.48,18.36,14.79,9.66,9.71,7.61
Land,537,492,393,387,334,256
Buildings,2662,2359,2194,2027,1780,1655
Machinery,3596,3360,3115,2826,2540,2232
Construction In Progress,1316,898,672,389,326,237
Order Backlog,-,15873,17171,-,-,-
