Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,28613,27176,26517,25785,23063,17202
Revenue Growth (YoY),6.55%,2.48%,2.84%,11.80%,34.07%,17.76%
Cost of Revenue,14735,14279,14133,13792,12149,9487
Gross Profit,13878,12897,12384,11993,10914,7715
"Selling, General & Admin",1744,1797,1628,1438,1229,1013
Research & Development,3511,3233,3102,2771,2485,2234
Operating Expenses,5255,5030,4730,4209,3714,3247
Operating Income,8623,7867,7654,7784,7200,4468
Interest Expense,-264,-247,-238,-228,-236,-240
Interest & Investment Income,484,512,273,32,-,76
Currency Exchange Gain (Loss),-,-,-,-,29,-10
Other Non Operating Income (Expenses),-,-,-,-,-10,-1
EBT Excluding Unusual Items,8843,8132,7689,7588,6983,4293
Merger & Restructuring Charges,-,-,-,4,-157,-80
Gain (Loss) on Sale of Investments,56,20,27,7,99,9
Other Unusual Items,-,-,-,-,-154,-56
Pretax Income,8899,8152,7716,7599,6771,4166
Income Tax Expense,2067,975,860,1074,883,547
Net Income,6832,7177,6856,6525,5888,3619
Net Income to Common,6832,7177,6856,6525,5888,3619
Net Income Growth,-8.29%,4.68%,5.07%,10.82%,62.70%,33.74%
Shares Outstanding (Basic),811,827,840,871,910,916
Shares Outstanding (Diluted),816,834,845,877,919,923
Shares Change (YoY),-2.48%,-1.30%,-3.65%,-4.57%,-0.43%,-2.33%
EPS (Basic),8.43,8.68,8.16,7.49,6.47,3.95
EPS (Diluted),8.38,8.61,8.11,7.44,6.40,3.92
EPS Growth,-5.88%,6.17%,9.01%,16.25%,63.27%,37.06%
Free Cash Flow,5823,7487,7594,4612,4774,3382
Free Cash Flow Per Share,7.14,8.98,8.99,5.26,5.20,3.66
Dividend Per Share,1.720,1.520,1.220,1.020,0.940,0.870
Dividend Growth,19.44%,24.59%,19.61%,8.51%,8.05%,4.82%
Gross Margin,48.50%,47.46%,46.70%,46.51%,47.32%,44.85%
Operating Margin,30.14%,28.95%,28.87%,30.19%,31.22%,25.97%
Profit Margin,23.88%,26.41%,25.86%,25.30%,25.53%,21.04%
Free Cash Flow Margin,20.35%,27.55%,28.64%,17.89%,20.70%,19.66%
EBITDA,9054,8259,8169,8228,7594,4844
EBITDA Margin,31.64%,30.39%,30.81%,31.91%,32.93%,28.16%
D&A For EBITDA,431,392,515,444,394,376
EBIT,8623,7867,7654,7784,7200,4468
EBIT Margin,30.14%,28.95%,28.87%,30.19%,31.22%,25.97%
Effective Tax Rate,23.23%,11.96%,11.15%,14.13%,13.04%,13.13%
