Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,175707,153768,109837,77187,123385,55665
Market Cap Growth,5.53%,40.00%,42.30%,-37.44%,121.66%,8.15%
Enterprise Value,175455,151336,109401,79495,122594,56615
Last Close Price,220.56,184.60,128.97,87.29,131.84,58.31
PE Ratio,26.32,21.43,16.02,11.83,20.96,15.38
Forward PE,24.54,20.07,17.34,13.19,17.07,13.32
PS Ratio,6.25,5.66,4.14,2.99,5.35,3.24
PB Ratio,9.01,8.09,6.72,6.33,10.07,5.26
P/TBV Ratio,11.32,10.24,8.91,9.47,14.24,8.00
P/FCF Ratio,30.17,20.54,14.46,16.74,25.85,16.46
P/OCF Ratio,22.80,17.72,12.63,14.30,22.67,14.63
PEG Ratio,3.21,1.71,2.24,-,0.77,0.83
EV/Sales Ratio,6.13,5.57,4.13,3.08,5.32,3.29
EV/EBITDA Ratio,19.38,18.32,13.39,9.66,16.14,11.69
EV/EBIT Ratio,20.35,19.24,14.29,10.21,17.03,12.67
EV/FCF Ratio,30.13,20.21,14.41,17.24,25.68,16.74
Debt / Equity Ratio,0.35,0.35,0.37,0.48,0.47,0.54
Debt / EBITDA Ratio,0.75,0.79,0.73,0.70,0.75,1.16
Debt / FCF Ratio,1.16,0.88,0.79,1.26,1.21,1.69
Asset Turnover,0.84,0.83,0.92,0.98,0.96,0.83
Inventory Turnover,2.59,2.56,2.42,2.69,2.96,2.57
Quick Ratio,1.62,1.74,1.63,1.20,1.67,1.99
Current Ratio,2.50,2.51,2.60,2.16,2.54,3.00
Return on Equity (ROE),35.63%,40.61%,48.04%,53.39%,51.59%,38.52%
Return on Assets (ROA),15.88%,15.10%,16.65%,18.52%,18.68%,13.50%
Return on Capital (ROIC),20.82%,20.51%,23.70%,27.01%,26.25%,18.73%
Return on Capital Employed (ROCE),32.80%,30.30%,32.80%,40.20%,37.00%,25.00%
Earnings Yield,3.89%,4.67%,6.24%,8.45%,4.77%,6.50%
FCF Yield,3.31%,4.87%,6.91%,5.97%,3.87%,6.08%
Dividend Yield,0.83%,0.82%,0.95%,1.17%,0.71%,1.49%
Payout Ratio,21.24%,16.61%,14.22%,13.38%,14.23%,21.75%
Buyback Yield / Dilution,2.48%,1.30%,3.65%,4.57%,0.43%,2.33%
Total Shareholder Return,3.31%,2.13%,4.59%,5.74%,1.15%,3.82%
