Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,4442,3787,3933,4835,2535,1595
Short-Term Investments,1425,1345,1840,1020,1073,695
Cash & Short-Term Investments,5867,5132,5773,5855,3608,2290
Cash Growth,9.87%,-11.10%,-1.40%,62.28%,57.55%,52.36%
Accounts Receivable,5686,6820,5376,4126,2706,2066
Other Receivables,-,113,9,2,2,10
Receivables,5686,6933,5385,4128,2708,2076
Inventory,6677,5734,4351,3771,1955,1399
Prepaid Expenses,-,-,-,1265,312,378
Other Current Assets,6289,1250,1259,-,-,-
Total Current Assets,24519,19049,16768,15019,8583,6143
"Property, Plant & Equipment",2128,2425,2222,1973,1069,849
Long-Term Investments,925,150,100,100,69,63
Goodwill,25083,24839,24262,24177,289,289
Other Intangible Assets,17812,18930,21363,24118,323,229
Long-Term Deferred Tax Assets,860,688,366,58,931,1245
Other Long-Term Assets,3493,3145,2804,2135,1155,144
Total Assets,74820,69226,67885,67580,12419,8962
Accounts Payable,3080,2466,2418,2956,1406,546
Accrued Expenses,4479,4260,3082,3077,2424,1796
Current Portion of Long-Term Debt,-,-,751,-,312,-
Current Portion of Leases,-,109,-,-,-,-
Other Current Liabilities,2284,446,438,336,98,75
Total Current Liabilities,9843,7281,6689,6369,4240,2417
Long-Term Debt,3218,1721,1717,2467,1,330
Long-Term Leases,668,491,535,396,348,201
Long-Term Deferred Tax Liabilities,341,349,1202,1934,12,11
Other Long-Term Liabilities,1085,1816,1850,1664,321,166
Total Liabilities,15155,11658,11993,12830,4922,3125
Common Stock,17,17,17,16,12,12
Additional Paid-In Capital,62228,61362,59676,58005,11069,10544
Retained Earnings,3945,2364,723,-131,-1451,-4605
Treasury Stock,-6535,-6106,-4514,-3099,-2130,-131
Comprehensive Income & Other,10,-69,-10,-41,-3,17
Shareholders' Equity,59665,57568,55892,54750,7497,5837
Total Liabilities & Equity,74820,69226,67885,67580,12419,8962
Total Debt,3886,2321,3003,2863,661,531
Net Cash (Debt),1981,2811,2770,2992,2947,1759
Net Cash Growth,-35.99%,1.48%,-7.42%,1.53%,67.54%,115.04%
Net Cash Per Share,1.21,1.72,1.70,1.90,2.40,1.46
Filing Date Shares Outstanding,1623,1620,1616,1611,1199,1211
Total Common Shares Outstanding,1622,1622,1616,1612,1207,1211
Working Capital,14676,11768,10079,8650,4343,3726
Book Value Per Share,36.78,35.49,34.59,33.96,6.21,4.82
Tangible Book Value,16770,13799,10267,6455,6885,5319
Tangible Book Value Per Share,10.34,8.51,6.35,4.00,5.70,4.39
Land,922,853,821,-,-,-
Buildings,-,-,-,714,206,-
Machinery,3065,2798,2346,2163,1534,1209
Construction In Progress,575,324,209,143,96,136
Leasehold Improvements,-,-,-,-,-,208
