Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,29600,25785,22680,23601,16434,9763
Revenue Growth (YoY),27.17%,13.69%,-3.90%,43.61%,68.33%,45.05%
Cost of Revenue,14508,12114,11278,11550,8505,5416
Gross Profit,15092,13671,11402,12051,7929,4347
"Selling, General & Admin",3366,2783,2352,2336,1448,995
Research & Development,6970,6456,5872,5005,2845,1983
Other Operating Expenses,-48,-48,-34,-102,-12,-
Operating Expenses,12592,11585,11001,10787,4281,2978
Operating Income,2500,2086,401,1264,3648,1369
Interest Expense,-100,-92,-106,-88,-34,-47
Interest & Investment Income,182,182,206,65,8,8
Earnings From Equity Investments,34,33,16,14,6,5
Other Non Operating Income (Expenses),26,-3,-8,5,-2,-3
EBT Excluding Unusual Items,2642,2206,509,1260,3626,1332
Merger & Restructuring Charges,-233,-186,-,-,-,-
Gain (Loss) on Sale of Investments,2,2,-1,-62,56,2
Other Unusual Items,-,-,-,-,-7,-54
Pretax Income,2411,2022,508,1198,3675,1280
Income Tax Expense,-319,381,-346,-122,513,-1210
Net Income,2834,1641,854,1320,3162,2490
Net Income to Common,2834,1641,854,1320,3162,2490
Net Income Growth,109.31%,92.16%,-35.30%,-58.25%,26.99%,630.21%
Shares Outstanding (Basic),1622,1620,1614,1561,1213,1184
Shares Outstanding (Diluted),1632,1637,1625,1571,1229,1207
Shares Change (YoY),-0.37%,0.74%,3.44%,27.83%,1.82%,7.77%
EPS (Basic),1.75,1.01,0.53,0.85,2.61,2.10
EPS (Diluted),1.73,1.00,0.53,0.84,2.57,2.06
EPS Growth,107.71%,88.99%,-37.01%,-67.31%,24.53%,587.93%
Free Cash Flow,4043,2405,1121,3115,3220,777
Free Cash Flow Per Share,2.48,1.47,0.69,1.98,2.62,0.64
Gross Margin,50.99%,53.02%,50.27%,51.06%,48.25%,44.52%
Operating Margin,8.45%,8.09%,1.77%,5.36%,22.20%,14.02%
Profit Margin,9.57%,6.36%,3.77%,5.59%,19.24%,25.50%
Free Cash Flow Margin,13.66%,9.33%,4.94%,13.20%,19.59%,7.96%
EBITDA,5510,5150,3854,5438,4055,1681
EBITDA Margin,18.62%,19.97%,16.99%,23.04%,24.67%,17.22%
D&A For EBITDA,3010,3064,3453,4174,407,312
EBIT,2500,2086,401,1264,3648,1369
EBIT Margin,8.45%,8.09%,1.77%,5.36%,22.20%,14.02%
Effective Tax Rate,-,18.84%,-,-,13.96%,-
