Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,373627,203159,238141,104432,176480,110546
Market Cap Growth,35.08%,-14.69%,128.03%,-40.83%,59.64%,110.24%
Enterprise Value,365853,200853,235218,101731,173574,109353
Last Close Price,238.03,125.19,147.41,64.77,146.14,91.81
PE Ratio,132.80,123.80,278.85,79.11,55.81,44.40
Forward PE,45.53,27.74,44.35,20.28,46.64,52.42
PS Ratio,13.04,7.88,10.50,4.43,10.74,11.32
PB Ratio,6.47,3.53,4.26,1.91,23.54,18.94
P/TBV Ratio,21.93,14.72,23.20,16.18,25.63,20.78
P/FCF Ratio,90.98,84.47,212.44,33.53,54.81,142.27
P/OCF Ratio,75.42,66.81,142.86,29.29,50.12,103.22
PEG Ratio,1.19,0.67,1.39,0.77,1.47,1.47
EV/Sales Ratio,12.36,7.79,10.37,4.31,10.56,11.20
EV/EBITDA Ratio,66.40,39.00,61.03,18.71,42.81,65.05
EV/EBIT Ratio,146.34,96.29,586.58,80.48,47.58,79.88
EV/FCF Ratio,90.49,83.52,209.83,32.66,53.91,140.74
Debt / Equity Ratio,0.07,0.04,0.05,0.05,0.09,0.09
Debt / EBITDA Ratio,0.67,0.43,0.75,0.51,0.16,0.31
Debt / FCF Ratio,0.96,0.97,2.68,0.92,0.21,0.68
Asset Turnover,0.42,0.38,0.34,0.59,1.54,1.30
Inventory Turnover,2.49,2.40,2.78,4.03,5.07,4.55
Quick Ratio,1.17,1.66,1.67,1.57,1.49,1.81
Current Ratio,2.49,2.62,2.51,2.36,2.02,2.54
Return on Equity (ROE),4.70%,2.89%,1.54%,4.24%,47.43%,57.48%
Return on Assets (ROA),2.19%,1.90%,0.37%,1.98%,21.33%,11.42%
Return on Capital (ROIC),2.55%,2.20%,0.43%,2.40%,31.39%,17.32%
Return on Capital Employed (ROCE),3.80%,3.40%,0.70%,2.10%,44.60%,20.90%
Earnings Yield,0.77%,0.81%,0.36%,1.26%,1.79%,2.25%
FCF Yield,1.10%,1.18%,0.47%,2.98%,1.82%,0.70%
Buyback Yield / Dilution,0.37%,-0.74%,-3.44%,-27.83%,-1.82%,-7.77%
