Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,2226,2762,1939,671.71,620.81,893.22
Short-Term Investments,6619,5541,3069,2352,2788,1980
Cash & Short-Term Investments,8844,8303,5008,3024,3408,2873
Cash Growth,40.97%,65.81%,65.62%,-11.28%,18.64%,5.45%
Receivables,1624,1140,1034,923.1,516.51,389.54
Inventory,2059,1835,1945,1452,696.43,498.45
Prepaid Expenses,976.4,632.29,412.52,152.17,18.53,15.32
Other Current Assets,-,-,-,-,172.89,60.82
Total Current Assets,13504,11911,8400,5551,4813,3837
"Property, Plant & Equipment",152.3,150.8,157.47,148.4,143.82,109.52
Long-Term Investments,-,81.32,62.29,39.47,20.25,8.31
Goodwill,416.5,268.53,268.53,265.92,188.4,189.7
Other Intangible Assets,319.8,62.01,88.77,122.21,93.56,122.79
Long-Term Deferred Tax Assets,1803,1440,945.79,574.91,442.3,441.53
Other Long-Term Assets,339.6,130.03,33.72,73.75,33.44,30.07
Total Assets,16534,14044,9957,6775,5734,4739
Accounts Payable,543.9,381.08,435.06,232.57,202.64,134.24
Accrued Expenses,380.7,435.28,407.3,292.49,216.23,134.04
Current Portion of Leases,-,22.14,21.11,19.88,20.3,17.77
Current Unearned Revenue,2871,1793,974.4,682.63,632.28,430.76
Other Current Liabilities,255.6,100.74,81.56,65.96,38.39,51.43
Total Current Liabilities,4051,2732,1919,1294,1110,768.24
Long-Term Leases,-,37.5,44.41,43.96,56.53,72.4
Long-Term Unearned Revenue,1379,1159,665.04,462.06,390.42,254.57
Long-Term Deferred Tax Liabilities,-,-,-,0.04,129.07,227.94
Other Long-Term Liabilities,202.6,120.17,108.69,89.99,69.98,95.48
Total Liabilities,5633,4049,2738,1890,1756,1419
Common Stock,0.1,0.13,0.13,0.03,0.03,0.03
Additional Paid-In Capital,2636,2465,2108,1781,1530,1292
Retained Earnings,8262,7542,5114,3139,2457,2028
Comprehensive Income & Other,3.8,-13.19,-3.33,-33.91,-8.3,0.24
Shareholders' Equity,10902,9995,7219,4886,3979,3320
Total Liabilities & Equity,16534,14044,9957,6775,5734,4739
Total Debt,-,59.64,65.52,63.84,76.83,90.17
Net Cash (Debt),8844,8244,4942,2960,3331,2783
Net Cash Growth,42.37%,66.80%,66.98%,-11.15%,19.72%,6.00%
Net Cash Per Share,6.92,6.44,3.90,2.34,2.61,2.19
Filing Date Shares Outstanding,1257,1261,1251,1226,1231,1221
Total Common Shares Outstanding,1257,1261,1249,1228,1231,1219
Working Capital,9452,9179,6481,4257,3703,3069
Book Value Per Share,8.67,7.92,5.78,3.98,3.23,2.72
Tangible Book Value,10165,9664,6862,4498,3697,3008
Tangible Book Value Per Share,8.09,7.66,5.49,3.66,3.00,2.47
Land,47.3,47.19,44.65,41.5,40.15,-
Machinery,243.2,228.14,206.19,178.13,138.63,114.52
Construction In Progress,58.1,8.21,4.24,2.12,2.38,1.44
Leasehold Improvements,37.1,34.71,34.58,30.1,30.5,31.45
