Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,7951,7003,5860,4381,2948,2318
Revenue Growth (YoY),25.97%,19.50%,33.75%,48.62%,27.21%,-3.87%
Cost of Revenue,2844,2512,2230,1706,1067,835.63
Gross Profit,5107,4491,3630,2676,1881,1482
"Selling, General & Admin",593.77,549.97,518.11,420.2,369.29,291.41
Research & Development,1084,996.72,854.92,728.39,586.75,486.59
Operating Expenses,1677,1547,1373,1149,956.04,778
Operating Income,3430,2945,2257,1527,924.74,703.88
Interest & Investment Income,356.3,311,152.42,27.56,7.22,27.14
Other Non Operating Income (Expenses),20.82,9.42,12.36,27.13,-1.08,-1.56
EBT Excluding Unusual Items,3807,3265,2422,1582,930.88,729.47
Merger & Restructuring Charges,-,-,-,-,-,-4.2
Gain (Loss) on Sale of Investments,-,-,-,-,-,13.6
Pretax Income,3807,3265,2422,1582,930.88,738.86
Income Tax Expense,555.48,412.98,334.71,229.35,90.03,104.31
Net Income,3252,2852,2087,1352,840.85,634.56
Net Income to Common,3252,2852,2087,1352,840.85,634.56
Net Income Growth,32.07%,36.64%,54.34%,60.84%,32.51%,-26.20%
Shares Outstanding (Basic),1259,1256,1237,1226,1226,1216
Shares Outstanding (Diluted),1279,1281,1269,1266,1277,1271
Shares Change (YoY),0.20%,0.99%,0.21%,-0.87%,0.43%,-1.75%
EPS (Basic),2.58,2.27,1.69,1.10,0.69,0.52
EPS (Diluted),2.55,2.23,1.65,1.07,0.66,0.50
EPS Growth,31.78%,35.15%,54.21%,62.74%,31.50%,-24.72%
Free Cash Flow,3975,3676,2000,448.17,951.12,719.73
Free Cash Flow Per Share,3.11,2.87,1.58,0.35,0.74,0.57
Gross Margin,64.24%,64.13%,61.95%,61.07%,63.80%,63.94%
Operating Margin,43.14%,42.05%,38.52%,34.86%,31.37%,30.37%
Profit Margin,40.89%,40.73%,35.62%,30.87%,28.52%,27.38%
Free Cash Flow Margin,50.00%,52.49%,34.12%,10.23%,32.26%,31.06%
EBITDA,3471,2990,2328,1590,975.07,739.04
EBITDA Margin,43.65%,42.69%,39.72%,36.29%,33.07%,31.89%
D&A For EBITDA,40.76,45.26,70.63,62.7,50.33,35.16
EBIT,3430,2945,2257,1527,924.74,703.88
EBIT Margin,43.14%,42.05%,38.52%,34.86%,31.37%,30.37%
Effective Tax Rate,14.59%,12.65%,13.82%,14.50%,9.67%,14.12%
Revenue as Reported,7951,7003,5860,4381,2948,2318
