Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,184244,139241,73267,37081,44172,21985
Market Cap Growth,48.11%,90.05%,97.59%,-16.05%,100.92%,41.48%
Enterprise Value,172917,131883,68860,34178,40847,19214
Last Close Price,145.94,110.53,58.88,30.34,35.94,18.16
PE Ratio,57.50,48.82,35.10,27.42,52.53,34.65
Forward PE,49.03,46.87,33.56,23.53,44.18,30.47
PS Ratio,23.10,19.88,12.50,8.46,14.98,9.49
PB Ratio,16.82,13.93,10.15,7.59,11.10,6.62
P/TBV Ratio,17.88,14.41,10.68,8.24,11.95,7.31
P/FCF Ratio,45.72,37.88,36.64,82.74,46.44,30.55
P/OCF Ratio,44.91,37.55,36.02,75.24,43.48,29.91
PEG Ratio,1.96,2.49,1.86,1.05,2.26,1.76
EV/Sales Ratio,21.75,18.83,11.75,7.80,13.86,8.29
EV/EBITDA Ratio,49.82,44.11,29.58,21.50,41.89,26.00
EV/EBIT Ratio,50.41,44.79,30.51,22.38,44.17,27.30
EV/FCF Ratio,43.50,35.88,34.44,76.26,42.95,26.70
Debt / Equity Ratio,-,0.01,0.01,0.01,0.02,0.03
Debt / EBITDA Ratio,-,0.02,0.03,0.04,0.08,0.12
Debt / FCF Ratio,-,0.02,0.03,0.14,0.08,0.13
Asset Turnover,0.56,0.58,0.70,0.70,0.56,0.52
Inventory Turnover,1.45,1.33,1.31,1.59,1.79,2.21
Quick Ratio,2.58,3.46,3.15,3.05,3.54,4.25
Current Ratio,3.33,4.36,4.38,4.29,4.34,5.00
Return on Equity (ROE),33.64%,33.14%,34.49%,30.51%,23.04%,20.42%
Return on Assets (ROA),15.23%,15.34%,16.86%,15.26%,11.04%,9.86%
Return on Capital (ROIC),22.11%,21.23%,23.06%,21.20%,15.48%,13.74%
Return on Capital Employed (ROCE),27.50%,26.00%,28.10%,27.90%,20.00%,17.70%
Earnings Yield,1.79%,2.05%,2.85%,3.65%,1.90%,2.89%
FCF Yield,2.19%,2.64%,2.73%,1.21%,2.15%,3.27%
Buyback Yield / Dilution,-0.20%,-0.99%,-0.21%,0.87%,-0.43%,1.75%
