Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,100486,47729,38022,35811,88184,47990
Short-Term Investments,243605,286472,129619,92774,58535,90300
Cash & Short-Term Investments,344091,334201,167641,128585,146719,138290
Cash Growth,24.25%,99.36%,30.37%,-12.36%,6.09%,8.04%
Accounts Receivable,40605,37152,38703,36271,30869,27972
Other Receivables,11191,11238,12557,12014,8696,7880
Receivables,51796,48390,51260,48285,39565,35852
Inventory,27471,24008,25856,25366,20954,19208
Restricted Cash,742,647,621,588,522,406
Other Current Assets,197,201,334,589,329,270
Total Current Assets,424297,407447,245712,203413,208089,194026
"Property, Plant & Equipment",227863,228772,221870,201940,196373,192596
Long-Term Investments,308330,318086,406666,361971,383198,318883
Goodwill,84251,83880,84626,78119,73875,73734
Other Intangible Assets,35170,35774,37140,30479,29637,30684
Long-Term Deferred Charges,8474,13397,14095,13670,14039,15691
Other Long-Term Assets,46861,38727,35188,35665,32822,28914
Total Assets,1163968,1153881,1069978,948465,958784,873729
Accounts Payable,55152,49485,49351,44635,40705,39978
Short-Term Debt,2986,2438,5335,2429,2351,3348
Current Portion of Long-Term Debt,-,6928,-,-,-,-
Current Portion of Leases,-,1491,1422,1283,1238,1342
Current Income Taxes Payable,82991,2307,665,951,564,837
Other Current Liabilities,218,13003,213,242,376,121
Total Current Liabilities,141347,75652,56986,49540,45234,45626
Long-Term Debt,124034,115396,122936,120315,111911,113547
Long-Term Leases,-,4505,3877,3656,3753,4127
Long-Term Unearned Revenue,32414,30808,30507,28657,23512,21395
Long-Term Deferred Tax Liabilities,-,83563,92344,76417,89679,73261
Other Long-Term Liabilities,195897,192302,192558,188199,169765,164437
Total Liabilities,493692,502226,499208,466784,443854,422393
Common Stock,8,8,8,8,8,8
Additional Paid-In Capital,35624,35665,34480,35167,35592,35626
Retained Earnings,713191,696218,607350,511127,534421,444626
Treasury Stock,-78939,-78939,-76802,-67826,-59795,-32853
Comprehensive Income & Other,-1895,-3584,-3763,-5052,-4027,-4243
Total Common Equity,667989,649368,561273,473424,506199,443164
Minority Interest,2287,2287,9497,8257,8731,8172
Shareholders' Equity,670276,651655,570770,481681,514930,451336
Total Liabilities & Equity,1163968,1153881,1069978,948465,958784,873729
Total Debt,127020,130758,133570,127683,119253,122364
Net Cash (Debt),217071,203443,34071,902,27466,15926
Net Cash Growth,41.59%,497.11%,3677.27%,-96.72%,72.46%,-15.05%
Net Cash Per Share,150975.25,141503.91,23515.40,614.07,18187.24,9988.28
Filing Date Shares Outstanding,1.44,1.44,1.44,1.46,1.48,1.53
Total Common Shares Outstanding,1.44,1.44,1.44,1.46,1.48,1.54
Working Capital,282950,331795,188726,153873,162855,148400
Book Value Per Share,464307.83,451367.20,389253.91,324225.93,342521.85,286947.12
Tangible Book Value,548568,529714,439507,364826,402687,338746
Tangible Book Value Per Share,381300.32,368197.27,304806.79,249852.24,272479.99,219336.83
Land,96700,94828,91290,82111,79913,77623
Machinery,176308,171597,164947,154977,148443,142942
Construction In Progress,12933,10606,10982,7100,5223,4224
