Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Operating Revenue,49815,49790,49751,52149,48229,41833
Other Revenue,320336,321643,314731,249871,227956,203746
Revenue,370151,371433,364482,302020,276185,245579
Revenue Growth (YoY),0.01%,1.91%,20.68%,9.35%,12.46%,-3.55%
Cost of Revenue,36658,37292,38879,38162,34051,29554
Gross Profit,85118,113735,123196,-28011,115147,69790
Operating Income,85118,113735,123196,-28011,115147,69790
Interest Expense,-5164,-5200,-5003,-4352,-4172,-4083
Earnings From Equity Investments,-3523,1841,1973,1863,886,657
EBT Excluding Unusual Items,76431,110376,120166,-30500,111861,66364
Impairment of Goodwill,-,-,-,-,-,-10033
Asset Writedown,-,-,-,-,-,-638
Pretax Income,76431,110376,120166,-30500,111861,55693
Income Tax Expense,13071,20815,23019,-8502,20912,12440
Earnings From Continuing Operations,63360,89561,97147,-21998,90949,43253
Minority Interest in Earnings,-442,-566,-924,-761,-1012,-732
Net Income,62918,88995,96223,-22759,89937,42521
Net Income to Common,62918,88995,96223,-22759,89937,42521
Net Income Growth,-7.28%,-7.51%,-,-,111.51%,-47.77%
Shares Outstanding (Basic),1,1,1,1,2,2
Shares Outstanding (Diluted),1,1,1,1,2,2
Shares Change (YoY),-0.25%,-0.77%,-1.36%,-2.73%,-5.29%,-2.42%
EPS (Basic),43760.15,61900.09,66411.99,-15494.16,59553.83,26667.81
EPS (Diluted),43760.15,61900.09,66411.99,-15494.16,59553.83,26667.81
EPS Growth,-7.04%,-6.79%,-,-,123.32%,-46.48%
Free Cash Flow,8225,11616,29787,21886,26151,26761
Free Cash Flow Per Share,5720.58,8079.46,20558.64,14899.83,17316.48,16783.64
Gross Margin,22.99%,30.62%,33.80%,-9.27%,41.69%,28.42%
Operating Margin,22.99%,30.62%,33.80%,-9.28%,41.69%,28.42%
Profit Margin,17.00%,23.96%,26.40%,-7.54%,32.56%,17.32%
Free Cash Flow Margin,2.22%,3.13%,8.17%,7.25%,9.47%,10.90%
EBITDA,98201,126590,135682,-17112,125865,80386
EBITDA Margin,26.53%,34.08%,37.23%,-5.67%,45.57%,32.73%
D&A For EBITDA,13083,12855,12486,10899,10718,10596
EBIT,85118,113735,123196,-28011,115147,69790
EBIT Margin,22.99%,30.62%,33.80%,-9.27%,41.69%,28.42%
Effective Tax Rate,17.10%,18.86%,19.16%,-,18.70%,22.34%
