Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,1060499,978009,776880,681921,669122,543679
Market Cap Growth,6.56%,25.89%,13.93%,1.91%,23.07%,-1.81%
Enterprise Value,845715,780041,753817,697776,643484,509707
Last Close Price,491.81,453.28,356.66,308.90,299.00,231.87
PE Ratio,16.86,10.99,8.07,-,7.44,12.79
PS Ratio,2.87,2.63,2.13,2.26,2.42,2.21
PB Ratio,1.58,1.50,1.36,1.42,1.30,1.21
P/TBV Ratio,1.93,1.85,1.77,1.87,1.66,1.61
P/FCF Ratio,128.94,84.20,26.08,31.16,25.59,20.32
P/OCF Ratio,38.69,31.97,15.79,18.26,16.97,13.67
EV/Sales Ratio,2.28,2.10,2.07,2.31,2.33,2.08
EV/EBITDA Ratio,8.61,6.16,5.56,-,5.11,6.34
EV/EBIT Ratio,9.94,6.86,6.12,-,5.59,7.30
EV/FCF Ratio,102.82,67.15,25.31,31.88,24.61,19.05
Debt / Equity Ratio,0.19,0.20,0.23,0.27,0.23,0.27
Debt / EBITDA Ratio,1.27,1.02,0.97,-,0.94,1.49
Debt / FCF Ratio,15.44,11.26,4.48,5.83,4.56,4.57
Asset Turnover,0.33,0.33,0.36,0.32,0.30,0.29
Inventory Turnover,1.33,1.50,1.52,1.65,1.70,1.51
Quick Ratio,2.80,5.06,3.84,3.57,4.12,3.82
Current Ratio,3.00,5.39,4.31,4.11,4.60,4.25
Return on Equity (ROE),9.91%,14.65%,18.46%,-4.41%,18.82%,9.83%
Return on Assets (ROA),4.68%,6.39%,7.63%,-1.84%,7.85%,5.16%
Return on Capital (ROIC),6.96%,9.56%,11.72%,-2.82%,11.92%,7.85%
Return on Capital Employed (ROCE),8.30%,10.50%,12.20%,-,12.60%,8.40%
Earnings Yield,5.93%,9.10%,12.39%,-3.34%,13.44%,7.82%
FCF Yield,0.78%,1.19%,3.83%,3.21%,3.91%,4.92%
Buyback Yield / Dilution,0.25%,0.77%,1.36%,2.73%,5.29%,2.42%
