Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,2823,2644,1008,882.33,1089,928.43
Short-Term Investments,178.19,140.63,130.36,4.49,5.96,4.45
Cash & Short-Term Investments,3001,2785,1139,886.82,1095,932.88
Cash Growth,144.24%,144.59%,28.38%,-19.00%,17.37%,31.43%
Receivables,753.77,680.46,489.22,509.48,344.41,348.2
Inventory,226.16,257.71,181.66,128.01,115.72,75.96
Prepaid Expenses,241.66,293.25,166.82,112.97,75.43,66.19
Other Current Assets,-,-,-,69.5,85.32,55.37
Total Current Assets,4223,4016,1976,1707,1716,1479
"Property, Plant & Equipment",482.13,604.39,554.01,541.83,436.04,444.48
Long-Term Investments,130.8,124.09,138.32,120,127.5,132.23
Goodwill,2600,2379,1536,1374,928.36,782.09
Other Intangible Assets,618.95,594.73,336.84,354.62,233.27,210.59
Long-Term Deferred Tax Assets,980.22,982.06,880,853.69,763.77,732.29
Long-Term Deferred Charges,-,-,-,-,43.9,36.7
Other Long-Term Assets,474.25,274.47,248.25,185.9,137.7,133.83
Total Assets,9509,8974,5669,5137,4386,3951
Accounts Payable,291.77,5.56,91.19,47.11,-,-
Accrued Expenses,334.25,585.58,443.75,418.74,327.9,316.03
Short-Term Debt,-,-,-,100,-,-
Current Portion of Long-Term Debt,-,-,349.29,-,-,-
Current Portion of Leases,-,41.55,41.62,36.74,25.27,33.92
Current Unearned Revenue,729.93,737.41,665.02,745.11,618.06,446.86
Other Current Liabilities,140.62,-,-,-,-,-
Total Current Liabilities,1497,1370,1591,1348,971.23,796.81
Long-Term Debt,2478,2476,299.77,648.08,347.59,346.79
Long-Term Leases,-,108.89,115.36,139.34,107.12,113.92
Long-Term Unearned Revenue,154.45,115.17,98.93,91.52,101.15,107.06
Other Long-Term Liabilities,373,230.56,160.29,165.32,118.54,93.19
Total Liabilities,4502,4301,2265,2392,1646,1458
Common Stock,4446,4182,3167,2766,2468,2218
Retained Earnings,6425,5992,4936,3895,3046,2350
Treasury Stock,-5889,-5310,-4604,-3824,-2740,-2058
Comprehensive Income & Other,23.97,-190.45,-94.75,-91.64,-33.31,-17.43
Shareholders' Equity,5007,4674,3404,2745,2741,2493
Total Liabilities & Equity,9509,8974,5669,5137,4386,3951
Total Debt,2478,2627,806.03,924.15,479.98,494.63
Net Cash (Debt),522.81,158.03,332.48,-37.34,614.92,438.26
Net Cash Growth,-,-52.47%,-,-,40.31%,72.91%
Net Cash Per Share,1.91,0.58,1.22,-0.14,2.21,1.57
Filing Date Shares Outstanding,272.49,274.11,272.24,272.94,277.34,278.97
Total Common Shares Outstanding,272.49,273.85,271.71,272.68,276.8,278.94
Working Capital,2726,2646,385.35,359.07,744.54,681.78
Book Value Per Share,18.37,17.07,12.53,10.07,9.90,8.94
Tangible Book Value,1788,1700,1532,1016,1579,1500
Tangible Book Value Per Share,6.56,6.21,5.64,3.73,5.70,5.38
Land,-,57.69,56.64,56.61,55.84,55.85
Buildings,-,137.78,131.88,131.95,126.56,126.67
Machinery,-,918.92,821.68,761.75,704.47,682.63
Construction In Progress,-,14.88,17.94,21.67,13.83,10.77
Leasehold Improvements,-,245.67,211.85,176.41,137.78,129.16
