Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,5089,4641,4090,3562,2988,2683
Revenue Growth (YoY),22.30%,13.48%,14.83%,19.19%,11.38%,14.83%
Cost of Revenue,734.34,647.5,435.04,371.62,307.01,305.5
Gross Profit,4355,3994,3655,3190,2681,2377
"Selling, General & Admin",1067,1025,920.65,836.24,746.68,668.49
Research & Development,1681,1549,1442,1252,1134,1034
Operating Expenses,2784,2605,2381,2106,1901,1720
Operating Income,1571,1389,1274,1084,780.64,657.17
Interest Expense,-112.47,-76,-36.19,-22.93,-16.98,-20.75
Interest & Investment Income,96.29,62.48,29.64,10.1,2.63,3.82
Currency Exchange Gain (Loss),-3.29,-0.97,-5.49,-0.46,-2.79,4.43
Other Non Operating Income (Expenses),-1.21,-1.2,-2.71,-0.86,5.9,4.65
EBT Excluding Unusual Items,1550,1373,1260,1070,769.41,649.32
Merger & Restructuring Charges,-31.76,-38.37,-23.11,-10.16,-1.55,-11.62
Gain (Loss) on Sale of Investments,5.29,60.74,45.45,-14.17,0.58,-4.95
Gain (Loss) on Sale of Assets,11.5,-,-,-,-,-
Pretax Income,1406,1396,1282,1045,768.44,632.75
Income Tax Expense,394.41,340.34,240.78,196.41,72.48,42.1
Net Income,1012,1055,1041,848.95,695.96,590.64
Net Income to Common,1012,1055,1041,848.95,695.96,590.64
Net Income Growth,-4.12%,1.38%,22.64%,21.98%,17.83%,-40.28%
Shares Outstanding (Basic),272,271,269,271,274,274
Shares Outstanding (Diluted),274,274,273,275,279,280
Shares Change (YoY),0.27%,0.40%,-0.82%,-1.38%,-0.28%,-0.31%
EPS (Basic),3.72,3.89,3.86,3.13,2.54,2.16
EPS (Diluted),3.70,3.85,3.82,3.09,2.50,2.11
EPS Growth,-4.13%,0.78%,23.63%,23.60%,18.48%,-40.23%
Free Cash Flow,1585,1118,1247,1119,1036,810.11
Free Cash Flow Per Share,5.79,4.08,4.57,4.07,3.71,2.90
Gross Margin,85.57%,86.05%,89.36%,89.57%,89.73%,88.61%
Operating Margin,30.86%,29.93%,31.16%,30.43%,26.12%,24.50%
Profit Margin,19.88%,22.74%,25.46%,23.84%,23.29%,22.02%
Free Cash Flow Margin,31.15%,24.09%,30.48%,31.41%,34.66%,30.20%
EBITDA,1787,1586,1420,1216,922.95,802.82
EBITDA Margin,35.11%,34.17%,34.71%,34.14%,30.89%,29.92%
D&A For EBITDA,216.33,196.94,145.29,132.09,142.31,145.65
EBIT,1571,1389,1274,1084,780.64,657.17
EBIT Margin,30.86%,29.93%,31.16%,30.43%,26.12%,24.50%
Effective Tax Rate,28.04%,24.38%,18.78%,18.79%,9.43%,6.65%
Revenue as Reported,5089,4641,4090,3562,2988,2683
