Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,7539,8544,5139,4425,7123,1062
Short-Term Investments,-,-,-,-,9.66,-
Cash & Short-Term Investments,7539,8544,5139,4425,7133,1062
Cash Growth,4.34%,66.25%,16.14%,-37.96%,571.76%,93.44%
Accounts Receivable,124.7,95.87,58.93,191.51,1.04,159.37
Other Receivables,139.12,174.91,173.09,89.28,146.44,23.31
Receivables,1067,746.15,425.44,464.82,365.94,189.47
Prepaid Expenses,92.58,88.5,79.55,98.2,123.25,36.22
Restricted Cash,69.19,38.52,22.99,25.87,30.95,30.79
Other Current Assets,8722,8696,5689,81434,10721,3816
Total Current Assets,17491,18113,11357,86448,18374,5134
"Property, Plant & Equipment",135.97,281.23,205.29,241.21,157.62,150.1
Long-Term Investments,1934,374.16,343.05,326.68,363.95,28.15
Goodwill,1154,1140,1140,1074,625.76,77.21
Other Intangible Assets,283.09,46.8,86.42,135.43,176.69,60.83
Long-Term Deferred Tax Assets,541.35,941.3,1272,1047,573.55,20.81
Other Long-Term Assets,1938,1646,350.45,452.64,1003,384.38
Total Assets,23476,22542,14754,89725,21274,5855
Accounts Payable,68.52,63.32,39.29,56.04,39.83,12.03
Accrued Expenses,320.12,331.52,313.49,165.79,342.12,57.39
Short-Term Debt,268.55,300.11,62.98,172.02,446.73,271.3
Current Portion of Leases,18.38,9.6,-,33.73,32.37,25.27
Current Income Taxes Payable,6.46,90.91,17.37,5.53,4.55,5.81
Other Current Liabilities,6282,7146,5052,80382,10553,3875
Total Current Liabilities,8231,7941,5485,80815,11419,4247
Long-Term Debt,2974,4234,2980,3393,3385,-
Long-Term Leases,169.39,85.79,3.82,42.04,74.08,82.51
Other Long-Term Liabilities,7.43,3.92,3.4,19.53,14.83,-
Total Liabilities,11381,12265,8472,84270,14893,4329
Common Stock,0,0,0,0,0,-
Additional Paid-In Capital,5640,5366,4492,3768,2035,231.02
Retained Earnings,6455,4961,1820,1725,4350,726.3
Comprehensive Income & Other,-0.06,-50.05,-30.27,-38.61,-3.4,6.26
Total Common Equity,12095,10277,6282,5455,6382,963.58
Shareholders' Equity,12095,10277,6282,5455,6382,1526
Total Liabilities & Equity,23476,22542,14754,89725,21274,5855
Total Debt,4696,4630,3047,3641,3938,379.08
Net Cash (Debt),2843,3914,2093,783.77,3195,682.77
Net Cash Growth,3.00%,87.06%,166.99%,-75.47%,367.97%,63.10%
Net Cash Per Share,10.25,14.32,8.23,3.53,14.53,7.49
Filing Date Shares Outstanding,256.94,253.88,242.28,231.47,219.48,73.11
Total Common Shares Outstanding,256.43,253.64,242.05,230.87,217.12,73.11
Working Capital,9260,10171,5872,5633,6955,887.09
Book Value Per Share,47.17,40.52,25.95,23.63,29.39,13.18
Tangible Book Value,10658,9090,5056,4245,5579,825.55
Tangible Book Value Per Share,41.56,35.84,20.89,18.39,25.70,11.29
Machinery,-,-,-,13.07,10.85,9.98
Construction In Progress,-,-,-,-,0.54,0.36
Leasehold Improvements,-,-,-,45.26,43.05,40.59
