Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Operating Revenue,6706,6293,2927,3149,7355,1141
Other Revenue,-,-,-,-,482.55,133.69
Revenue,6706,6293,2927,3149,7837,1275
Revenue Growth (YoY),49.18%,115.04%,-7.06%,-59.82%,514.76%,143.85%
Cost of Revenue,1037,897.71,420.71,629.88,1268,135.51
Gross Profit,5669,5396,2506,2519,6569,1139
"Selling, General & Admin",2315,1955,1382,2111,1526,335.56
Research & Development,1489,1468,1325,2326,1291,271.73
Other Operating Expenses,-24.07,-63.79,-24.42,796.8,477.15,124.62
Operating Expenses,3780,3359,2682,5234,3294,731.92
Operating Income,1889,2036,-175.91,-2715,3275,407.43
Interest Expense,-82.11,-80.65,-82.77,-88.9,-29.16,-
Interest & Investment Income,302.29,270.78,181.84,45.39,2.14,2.63
Currency Exchange Gain (Loss),-2.49,-2.49,-10.61,-161.75,-40.99,-1.06
Other Non Operating Income (Expenses),191.13,728.31,36.38,-2.51,-181.17,4.59
EBT Excluding Unusual Items,2298,2952,-51.06,-2923,3026,413.58
Merger & Restructuring Charges,-,-,-142.59,-40.7,-8,-1.1
Gain (Loss) on Sale of Investments,1480,-9.69,24.43,-101.22,48.54,-
Asset Writedown,-,-,-,-,-0.5,-
Other Unusual Items,-306.65,-,92.38,-,-39.2,-3.28
Pretax Income,3472,2943,-76.85,-3065,3027,409.2
Income Tax Expense,610.51,363.58,-171.72,-439.63,-597.17,86.88
Net Income,2861,2579,94.87,-2625,3624,322.32
Preferred Dividends & Other Adjustments,0.53,1.31,0.12,-,527.16,214.06
Net Income to Common,2861,2578,94.75,-2625,3097,108.26
Net Income Growth,92.86%,2618.50%,-,-,1024.40%,-
Shares Outstanding (Basic),252,247,236,222,177,69
Shares Outstanding (Diluted),277,273,254,222,220,91
Shares Change (YoY),1.42%,7.46%,14.42%,1.08%,141.17%,48.75%
EPS (Basic),11.34,10.42,0.40,-11.81,17.47,1.58
EPS (Diluted),10.37,9.48,0.37,-11.83,14.50,1.40
EPS Growth,90.38%,2444.87%,-,-,937.81%,-
Free Cash Flow,1807,2557,922.95,-1585,4038,283.64
Free Cash Flow Per Share,6.52,9.35,3.63,-7.13,18.36,3.11
Gross Margin,84.54%,85.73%,85.62%,80.00%,83.82%,89.37%
Operating Margin,28.17%,32.36%,-6.01%,-86.22%,41.79%,31.96%
Profit Margin,42.66%,40.96%,3.24%,-83.36%,39.52%,8.49%
Free Cash Flow Margin,26.94%,40.63%,31.54%,-50.35%,51.52%,22.25%
EBITDA,2020,2164,-36.27,-2561,3339,438.39
EBITDA Margin,30.12%,34.38%,-1.24%,-81.33%,42.60%,34.39%
D&A For EBITDA,130.92,127.52,139.64,154.07,63.65,30.96
EBIT,1889,2036,-175.91,-2715,3275,407.43
EBIT Margin,28.17%,32.36%,-6.01%,-86.22%,41.79%,31.96%
Effective Tax Rate,17.59%,12.35%,-,-,-,21.23%
Revenue as Reported,7008,6564,3108,3194,7839,1277
