Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,82305,62162,41610,8032,54311,-
Market Cap Growth,93.81%,49.39%,418.03%,-85.21%,-,-
Enterprise Value,79406,58935,39712,6708,51894,-
Last Close Price,338.62,248.30,173.92,35.39,252.37,-
PE Ratio,30.89,24.12,439.14,-,17.54,-
Forward PE,51.36,44.83,-,-,33.11,-
PS Ratio,12.74,9.88,14.22,2.55,6.93,-
PB Ratio,7.18,6.05,6.62,1.47,8.51,-
P/TBV Ratio,7.72,6.84,8.23,1.89,9.74,-
P/FCF Ratio,45.52,24.31,45.08,-,13.45,-
P/OCF Ratio,45.52,24.31,45.08,-,13.45,-
PEG Ratio,146.76,-,-,-,0.43,-
EV/Sales Ratio,11.84,9.37,13.57,2.13,6.62,-
EV/EBITDA Ratio,39.31,27.24,-,-,15.54,-
EV/EBIT Ratio,42.03,28.94,-,-,15.84,-
EV/FCF Ratio,43.95,23.05,43.03,-,12.85,-
Debt / Equity Ratio,0.39,0.45,0.49,0.67,0.62,0.25
Debt / EBITDA Ratio,2.29,2.11,-,-,1.17,0.82
Debt / FCF Ratio,2.60,1.81,3.30,-,0.98,1.34
Asset Turnover,0.04,0.34,0.06,0.06,0.58,0.31
Quick Ratio,0.95,1.11,0.98,0.06,0.64,0.29
Current Ratio,2.13,2.28,2.07,1.07,1.61,1.21
Return on Equity (ROE),27.96%,31.15%,1.62%,-44.35%,91.66%,24.91%
Return on Assets (ROA),0.76%,6.83%,-0.21%,-3.06%,15.09%,6.17%
Return on Capital (ROIC),7.97%,10.50%,-1.19%,-17.48%,33.49%,16.44%
Return on Capital Employed (ROCE),12.40%,13.90%,-,-,33.20%,25.30%
Earnings Yield,3.48%,4.15%,0.23%,-32.68%,6.67%,-
FCF Yield,2.20%,4.11%,2.22%,-19.74%,7.43%,-
Buyback Yield / Dilution,-1.42%,-7.46%,-14.42%,-1.08%,-141.17%,-48.75%
