Fiscal Year,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Cash & Equivalents,3585,2861,1773,1481,2305,3380
Short-Term Investments,835,1231,1235,722,880,320
Trading Asset Securities,585,229,313,119,-,-
Cash & Short-Term Investments,5005,4321,3321,2322,3185,3700
Cash Growth,43.49%,30.11%,43.02%,-27.10%,-13.92%,20.13%
Accounts Receivable,5597,5281,5236,4955,4522,3669
Other Receivables,78,447,831,60,55,85
Receivables,5702,5757,6097,5050,4610,3776
Inventory,30,48,43,25,25,19
Prepaid Expenses,336,360,399,334,263,159
Other Current Assets,840,873,862,895,782,653
Total Current Assets,11913,11359,10722,8626,8865,8307
"Property, Plant & Equipment",2172,2235,2323,2516,2429,2519
Long-Term Investments,1225,1294,1404,1530,1801,1623
Goodwill,1295,1182,875,882,817,832
Other Intangible Assets,357,323,167,213,225,283
Long-Term Accounts Receivable,395,390,347,288,140,81
Long-Term Deferred Tax Assets,172,130,55,152,160,150
Long-Term Deferred Charges,131,139,98,102,119,20
Other Long-Term Assets,403,365,528,998,994,1006
Total Assets,18064,17419,16523,15312,15555,14825
Accounts Payable,432,487,474,470,545,362
Accrued Expenses,2017,1908,1835,1749,1811,1439
Current Portion of Leases,312,287,235,151,115,101
Current Income Taxes Payable,630,567,430,412,344,294
Current Unearned Revenue,1016,994,880,872,835,554
Other Current Liabilities,817,769,797,1115,783,514
Total Current Liabilities,5224,5012,4651,4769,4433,3264
Long-Term Leases,674,675,767,859,607,627
Long-Term Unearned Revenue,-,-,-,-,9,10
Pension & Post-Retirement Benefits,31,25,30,64,61,57
Long-Term Deferred Tax Liabilities,190,202,216,149,153,120
Other Long-Term Liabilities,258,250,254,247,298,245
Total Liabilities,6377,6164,5918,6088,5561,4323
Common Stock,325,325,325,325,328,332
Additional Paid-In Capital,547,500,425,366,337,359
Retained Earnings,15529,14937,14180,12771,12842,12995
Comprehensive Income & Other,-4767,-4557,-4371,-4290,-3566,-3244
Total Common Equity,11634,11205,10559,9172,9941,10442
Minority Interest,53,50,46,52,53,60
Shareholders' Equity,11687,11255,10605,9224,9994,10502
Total Liabilities & Equity,18064,17419,16523,15312,15555,14825
Total Debt,986,962,1002,1010,722,728
Net Cash (Debt),4019,3359,2319,1312,2463,2972
Net Cash Growth,64.92%,44.85%,76.75%,-46.73%,-17.13%,20.42%
Net Cash Per Share,0.97,0.81,0.56,0.31,0.58,0.70
Filing Date Shares Outstanding,4145,4144,4140,4137,4193,4245
Total Common Shares Outstanding,4145,4144,4140,4136,4193,4245
Working Capital,6689,6347,6071,3857,4432,5043
Book Value Per Share,2.81,2.70,2.55,2.22,2.37,2.46
Tangible Book Value,9982,9700,9517,8077,8899,9327
Tangible Book Value Per Share,2.41,2.34,2.30,1.95,2.12,2.20
Land,169,173,171,174,188,191
Buildings,1327,1371,1411,1407,1481,1445
Machinery,2071,2112,2081,2077,2207,2146
Construction In Progress,146,119,54,55,67,145
