Fiscal Year,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Revenue,19687,19277,18562,18212,16311,13561
Revenue Growth (YoY),4.52%,3.85%,1.92%,11.65%,20.28%,6.11%
Cost of Revenue,13803,13528,13096,12825,10996,8953
Gross Profit,5884,5749,5466,5387,5315,4608
"Selling, General & Admin",1725,1661,1631,1561,1560,1173
Operating Expenses,1725,1661,1631,1561,1560,1173
Operating Income,4160,4089,3835,3826,3755,3435
Interest Expense,-47,-49,-56,-35,-27,-26
Interest & Investment Income,375,345,487,226,221,218
Currency Exchange Gain (Loss),50,31,23,51,36,28
Other Non Operating Income (Expenses),21,15,24,40,27,30
EBT Excluding Unusual Items,4559,4431,4313,4108,4012,3685
Merger & Restructuring Charges,-4,-,-1,-1,-,-110
Gain (Loss) on Sale of Investments,27,34,34,18,24,21
Legal Settlements,-17.5,-17.5,-,-,-,-
Pretax Income,4564,4447,4346,4125,4036,3596
Income Tax Expense,1295,1285,1177,1142,1068,973
Earnings From Continuing Operations,3269,3162,3169,2983,2968,2623
Minority Interest in Earnings,-4,-4,-2,-2,-5,-10
Net Income,3265,3158,3167,2981,2963,2613
Net Income to Common,3265,3158,3167,2981,2963,2613
Net Income Growth,1.02%,-0.28%,6.24%,0.61%,13.40%,12.10%
Shares Outstanding (Basic),4143,4142,4139,4181,4210,4242
Shares Outstanding (Diluted),4153,4152,4145,4188,4219,4251
Shares Change (YoY),0.10%,0.18%,-1.03%,-0.73%,-0.76%,-0.34%
EPS (Basic),0.79,0.76,0.77,0.71,0.70,0.62
EPS (Diluted),0.79,0.76,0.76,0.71,0.70,0.61
EPS Growth,2.34%,-,7.04%,1.43%,14.75%,11.42%
Free Cash Flow,4140,4088,2882,2534,3055,2973
Free Cash Flow Per Share,1.00,0.98,0.69,0.60,0.72,0.70
Dividend Per Share,0.520,0.510,0.460,0.410,0.410,0.360
Dividend Growth,6.12%,10.87%,12.20%,-,13.89%,50.00%
Gross Margin,29.89%,29.82%,29.45%,29.58%,32.58%,33.98%
Operating Margin,21.13%,21.21%,20.66%,21.01%,23.02%,25.33%
Profit Margin,16.59%,16.38%,17.06%,16.37%,18.17%,19.27%
Free Cash Flow Margin,21.03%,21.21%,15.53%,13.91%,18.73%,21.92%
EBITDA,4508,4457,4207,4203,4116,3790
EBITDA Margin,22.90%,23.12%,22.66%,23.08%,25.24%,27.95%
D&A For EBITDA,348,368,372,377,361,355
EBIT,4160,4089,3835,3826,3755,3435
EBIT Margin,21.13%,21.21%,20.66%,21.01%,23.02%,25.33%
Effective Tax Rate,28.37%,28.90%,27.08%,27.68%,26.46%,27.06%
