Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,8433,2027,2750,1581,1291,1623
Short-Term Investments,-,1986,2473,2537,2940,3549
Cash & Short-Term Investments,8433,4013,5223,4118,4231,5172
Cash Growth,99.27%,-23.16%,26.84%,-2.67%,-18.19%,60.52%
Receivables,1260,1357,1268,1073,893,726.6
Inventory,1782,1487,1221,893.2,587.1,601.5
Prepaid Expenses,-,253.7,176.7,162.5,133.9,126.3
Other Current Assets,-,-,-,6.1,-,-
Total Current Assets,11474,7111,7888,6253,5845,6626
"Property, Plant & Equipment",5151,4783,3617,2456,1951,1641
Long-Term Investments,-,4904,2195,2683,4431,1788
Goodwill,348.1,347.5,348.7,348.5,343.6,336.7
Other Intangible Assets,-,23,39.1,49.8,70.5,77.4
Long-Term Accounts Receivable,-,245.5,231.6,300.8,278.7,189.5
Long-Term Deferred Tax Assets,978.9,1045,910.5,664.6,441.4,367.7
Long-Term Deferred Charges,-,147.4,119.5,72.3,71.8,53.1
Other Long-Term Assets,1400,137,92.7,145.9,122.2,89.5
Total Assets,19352,18743,15442,12974,13555,11169
Accounts Payable,1739,193.4,188.7,147,121.2,81.6
Accrued Expenses,-,838,743.9,707.2,539.4,438.7
Current Portion of Leases,-,33.5,25.3,24.2,20.4,21.9
Current Income Taxes Payable,-,154.4,111.4,96.1,54.1,47.2
Current Unearned Revenue,-,468.8,446.1,397.3,377.2,350.3
Other Current Liabilities,-,57.2,143.3,50.3,37.5,25.5
Total Current Liabilities,1739,1745,1659,1422,1150,965.2
Long-Term Leases,-,112.5,64.5,69.6,66.6,58
Long-Term Unearned Revenue,570.5,54.1,45.6,41,36.8,32.1
Other Long-Term Liabilities,-,301.7,275.4,328.7,350.3,354.5
Total Liabilities,2310,2214,2044,1861,1604,1410
Common Stock,17042,0.4,0.4,0.4,0.4,0.4
Additional Paid-In Capital,-,9681,8576,7704,7164,6445
Retained Earnings,-,6803,4743,3500,4761,3261
Comprehensive Income & Other,-,-51.3,-12.2,-162.5,-24.2,24.9
Total Common Equity,17042,16434,13308,11042,11901,9732
Minority Interest,-,95.9,89.7,70.7,50.4,27.6
Shareholders' Equity,17042,16530,13397,11113,11952,9759
Total Liabilities & Equity,19352,18743,15442,12974,13555,11169
Total Debt,-,146,89.8,93.8,87,79.9
Net Cash (Debt),8433,3867,5133,4024,4144,5092
Net Cash Growth,99.27%,-24.66%,27.57%,-2.89%,-18.61%,58.04%
Net Cash Per Share,23.19,10.68,14.36,11.12,11.33,14.10
Filing Date Shares Outstanding,356.6,356.66,352.33,350.39,357.74,353.15
Total Common Shares Outstanding,356.6,356.6,352.3,350,357.7,353.1
Working Capital,9735,5366,6229,4831,4695,5661
Book Value Per Share,47.79,46.08,37.77,31.55,33.27,27.56
Tangible Book Value,16694,16063,12920,10644,11487,9317
Tangible Book Value Per Share,46.81,45.05,36.67,30.41,32.11,26.39
Land,-,476.4,457.3,388.6,367.8,277.9
Buildings,-,1486,1002,866.5,812.5,773.8
Machinery,-,1071,878,701.1,621.3,540.6
Construction In Progress,-,1632,1355,608.6,209.7,117.4
