Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,9612,8352,7124,6222,5710,4358
Revenue Growth (YoY),22.18%,17.24%,14.49%,8.97%,31.01%,-2.68%
Cost of Revenue,3232,2718,2395,2026,1752,1497
Gross Profit,6380,5634,4730,4196,3959,2861
"Selling, General & Admin",2289,2119,1964,1712,1467,1216
Research & Development,1254,1145,998.8,879,671,595.1
Operating Expenses,3543,3264,2963,2591,2138,1811
Operating Income,2837,2370,1767,1605,1821,1050
Interest & Investment Income,361.5,336.9,195.8,78,80.8,103.5
Currency Exchange Gain (Loss),-2.7,-2.7,-3.7,-27.3,-0.9,-1.4
EBT Excluding Unusual Items,3196,2704,1959,1656,1901,1152
Gain (Loss) on Sale of Investments,-9.3,-9.3,-,-21,-10.6,55.1
Legal Settlements,-21.2,-21.2,-,-28.1,-,-
Pretax Income,3166,2674,1959,1607,1890,1207
Income Tax Expense,400.5,336.3,141.6,262.4,162.2,140.2
Earnings From Continuing Operations,2765,2338,1817,1344,1728,1067
Minority Interest in Earnings,-18.2,-14.9,-19.3,-22.1,-23.5,-6.2
Net Income,2747,2323,1798,1322,1705,1061
Net Income to Common,2747,2323,1798,1322,1705,1061
Net Income Growth,22.46%,29.18%,35.98%,-22.43%,60.72%,-23.11%
Shares Outstanding (Basic),357,355,351,356,356,351
Shares Outstanding (Diluted),364,362,357,362,366,361
Shares Change (YoY),0.82%,1.29%,-1.27%,-1.04%,1.33%,0.73%
EPS (Basic),7.69,6.54,5.12,3.72,4.79,3.02
EPS (Diluted),7.56,6.42,5.03,3.65,4.66,2.94
EPS Growth,21.56%,27.63%,37.81%,-21.67%,58.50%,-23.64%
Free Cash Flow,-,1304,749.6,958.4,1750,1143
Free Cash Flow Per Share,-,3.60,2.10,2.65,4.78,3.17
Gross Margin,66.38%,67.46%,66.39%,67.44%,69.33%,65.65%
Operating Margin,29.52%,28.38%,24.80%,25.80%,31.89%,24.09%
Profit Margin,28.58%,27.81%,25.24%,21.25%,29.85%,24.34%
Free Cash Flow Margin,-,15.61%,10.52%,15.40%,30.65%,26.23%
EBITDA,3422,2826,2169,1959,2128,1321
EBITDA Margin,35.60%,33.83%,30.45%,31.48%,37.27%,30.30%
D&A For EBITDA,584.3,455.7,402.2,353.8,307.4,270.8
EBIT,2837,2370,1767,1605,1821,1050
EBIT Margin,29.52%,28.38%,24.80%,25.80%,31.89%,24.09%
Effective Tax Rate,12.65%,12.58%,7.23%,16.33%,8.58%,11.62%
Revenue as Reported,9612,8352,7124,6222,5710,4358
