Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,188928,185911,118775,93771,128355,96172
Market Cap Growth,10.31%,56.52%,26.66%,-26.94%,33.46%,40.77%
Enterprise Value,180495,181774,112384,89510,124272,91417
Last Close Price,527.03,521.96,337.36,265.35,359.30,272.70
PE Ratio,69.73,80.05,66.06,70.92,75.30,90.68
Forward PE,57.38,69.43,54.48,50.89,67.86,65.59
PS Ratio,19.59,22.26,16.67,15.07,22.48,22.07
PB Ratio,11.03,11.25,8.87,8.44,10.74,9.86
P/TBV Ratio,11.32,11.57,9.19,8.81,11.17,10.32
P/FCF Ratio,-,142.59,158.45,97.84,73.35,84.12
P/OCF Ratio,-,76.98,65.48,62.90,61.43,64.77
PEG Ratio,3.38,4.15,3.63,4.11,4.99,6.78
EV/Sales Ratio,18.78,21.76,15.78,14.39,21.76,20.98
EV/EBITDA Ratio,52.75,64.33,51.81,45.69,58.39,69.22
EV/EBIT Ratio,63.62,76.69,63.61,55.76,68.24,87.08
EV/FCF Ratio,-,139.42,149.93,93.40,71.02,79.96
Debt / Equity Ratio,-,0.01,0.01,0.01,0.01,0.01
Debt / EBITDA Ratio,-,0.05,0.04,0.05,0.04,0.06
Debt / FCF Ratio,-,0.11,0.12,0.10,0.05,0.07
Asset Turnover,0.52,0.49,0.50,0.47,0.46,0.42
Inventory Turnover,1.98,2.01,2.27,2.74,2.95,2.50
Quick Ratio,5.57,3.08,3.91,3.65,4.46,6.11
Current Ratio,6.60,4.07,4.76,4.40,5.08,6.87
Return on Equity (ROE),16.90%,15.62%,14.83%,11.66%,15.92%,11.82%
Return on Assets (ROA),9.56%,8.67%,7.77%,7.56%,9.21%,6.28%
Return on Capital (ROIC),10.84%,9.82%,8.94%,8.63%,10.41%,7.24%
Return on Capital Employed (ROCE),16.10%,13.90%,12.80%,13.90%,14.70%,10.30%
Earnings Yield,1.45%,1.25%,1.51%,1.41%,1.33%,1.10%
FCF Yield,-,0.70%,0.63%,1.02%,1.36%,1.19%
Buyback Yield / Dilution,-0.82%,-1.29%,1.27%,1.04%,-1.33%,-0.73%
