Fiscal Year,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Revenue,19592,18436,14905,17429,17227,14626
Revenue Growth (YoY),25.66%,23.68%,-14.48%,1.17%,17.78%,45.61%
Cost of Revenue,9931,9457,7809,9573,9355,7821
Gross Profit,9661,8979,7096,7855,7872,6805
"Selling, General & Admin",1018,981.7,868.25,832.75,885.74,829.88
Research & Development,2177,2096,1902,1727,1604,1493
Operating Expenses,3195,3078,2771,2560,2490,2323
Operating Income,6466,5901,4325,5295,5382,4482
Interest Expense,-178.2,-178.2,-185.24,-186.46,-184.76,-208.6
Interest & Investment Income,231.33,231.33,251.94,138.98,15.21,19.69
Currency Exchange Gain (Loss),-26.41,-26.41,-4.84,-7.08,-0.72,-6.96
Other Non Operating Income (Expenses),30.44,30.45,34.44,-11.09,-18.44,84.65
EBT Excluding Unusual Items,6523,5958,4422,5230,5193,4371
Merger & Restructuring Charges,-,-,-61.56,-120.32,-,-
Pretax Income,6523,5958,4360,5109,5193,4371
Income Tax Expense,712.58,599.91,532.45,598.28,587.83,462.35
Net Income,5810,5358,3828,4511,4605,3908
Net Income to Common,5810,5358,3828,4511,4605,3908
Net Income Growth,43.23%,39.98%,-15.14%,-2.05%,17.83%,73.57%
Shares Outstanding (Basic),1277,1286,1314,1355,1399,1436
Shares Outstanding (Diluted),1281,1290,1320,1358,1406,1453
Shares Change (YoY),-2.41%,-2.26%,-2.83%,-3.41%,-3.23%,-2.53%
EPS (Basic),4.55,4.17,2.91,3.33,3.29,2.72
EPS (Diluted),4.53,4.15,2.90,3.32,3.27,2.69
EPS Growth,46.65%,43.10%,-12.65%,1.37%,21.75%,78.15%
Free Cash Flow,5550,5414,4256,4677,2554,3239
Free Cash Flow Per Share,4.33,4.20,3.22,3.44,1.82,2.23
Dividend Per Share,0.950,0.920,0.800,0.690,0.600,0.520
Dividend Growth,14.46%,15.00%,15.94%,15.00%,15.38%,13.04%
Gross Margin,49.31%,48.70%,47.61%,45.07%,45.69%,46.53%
Operating Margin,33.00%,32.01%,29.02%,30.38%,31.24%,30.64%
Profit Margin,29.66%,29.07%,25.68%,25.88%,26.73%,26.72%
Free Cash Flow Margin,28.33%,29.37%,28.55%,26.84%,14.82%,22.15%
EBITDA,6859,6287,4685,5638,5716,4789
EBITDA Margin,35.01%,34.10%,31.43%,32.35%,33.18%,32.74%
D&A For EBITDA,393.63,386.28,359.7,342.43,333.74,307.15
EBIT,6466,5901,4325,5295,5382,4482
EBIT Margin,33.00%,32.01%,29.02%,30.38%,31.24%,30.64%
Effective Tax Rate,10.92%,10.07%,12.21%,11.71%,11.32%,10.58%
