Fiscal Year,Current,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Market Capitalization,178121,124330,139220,81781,62448,89913
Market Cap Growth,68.20%,-10.70%,70.23%,30.96%,-30.55%,104.75%
Enterprise Value,175912,123364,138531,81417,63102,89941
Last Close Price,141.25,97.01,105.05,59.47,43.37,60.06
PE Ratio,31.17,23.20,36.37,18.13,13.56,23.01
Forward PE,30.99,23.70,31.65,25.81,12.42,19.75
PS Ratio,9.85,6.74,9.34,4.69,3.63,6.15
PB Ratio,18.17,12.61,16.30,9.96,9.95,14.92
P/TBV Ratio,21.29,15.44,20.55,12.68,13.40,20.41
P/FCF Ratio,32.09,22.96,32.71,17.48,24.46,27.76
P/OCF Ratio,27.90,20.14,29.93,15.79,20.15,25.06
PEG Ratio,1.75,1.59,2.35,12.29,1.19,0.63
EV/Sales Ratio,8.98,6.69,9.29,4.67,3.66,6.15
EV/EBITDA Ratio,25.65,19.62,29.57,14.44,11.04,18.78
EV/EBIT Ratio,27.21,20.91,32.03,15.38,11.73,20.07
EV/FCF Ratio,31.70,22.79,32.55,17.41,24.71,27.77
Debt / Equity Ratio,0.44,0.48,0.62,0.64,0.83,0.86
Debt / EBITDA Ratio,0.64,0.74,1.08,0.89,0.86,1.02
Debt / FCF Ratio,0.81,0.88,1.24,1.12,2.05,1.60
Asset Turnover,0.95,0.92,0.79,0.97,1.04,0.96
Inventory Turnover,2.39,2.22,1.73,2.18,2.81,3.41
Quick Ratio,1.54,1.49,1.93,1.95,1.75,2.48
Current Ratio,2.21,2.21,2.97,3.16,2.69,3.30
Return on Equity (ROE),62.26%,58.24%,45.71%,62.27%,74.85%,69.80%
Return on Assets (ROA),19.51%,18.40%,14.41%,18.40%,20.33%,18.40%
Return on Capital (ROIC),28.73%,25.95%,19.83%,26.52%,29.64%,25.07%
Return on Capital Employed (ROCE),42.60%,39.90%,30.00%,36.30%,42.60%,36.20%
Earnings Yield,3.26%,4.31%,2.75%,5.52%,7.38%,4.35%
FCF Yield,3.12%,4.35%,3.06%,5.72%,4.09%,3.60%
Dividend Yield,0.65%,0.95%,0.76%,1.16%,1.38%,0.87%
Payout Ratio,22.89%,21.45%,26.62%,20.13%,17.70%,18.60%
Buyback Yield / Dilution,2.41%,2.26%,2.83%,3.41%,3.23%,2.53%
Total Shareholder Return,3.06%,3.21%,3.59%,4.57%,4.61%,3.40%
