Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,1927,1533,2298,1307,1326,1180
Short-Term Investments,145.25,-,955.61,1362,1750,881.35
Cash & Short-Term Investments,2072,1533,3253,2669,3076,2062
Cash Growth,32.43%,-52.87%,21.87%,-13.22%,49.20%,54.90%
Accounts Receivable,1523,1216,1189,1015,896,665.94
Receivables,1523,1216,1189,1015,896,665.94
Inventory,658.17,737.11,971.41,935.63,593.36,333.09
Prepaid Expenses,137.26,107.26,116.2,109.82,82.67,55.36
Other Current Assets,39.03,48.19,58.77,34.75,33.89,24.8
Total Current Assets,4429,3642,5589,4765,4682,3141
"Property, Plant & Equipment",1091,1102,949.64,554.91,336.91,337.41
Long-Term Investments,138.06,-,76.43,61.44,99.42,44.29
Goodwill,1332,1332,1418,1418,1332,1332
Other Intangible Assets,1419,1414,1427,1220,1072,1059
Long-Term Deferred Tax Assets,184.79,184.26,175,177.04,225.22,241.65
Other Long-Term Assets,136.33,45.17,51.37,96.47,57.1,47.72
Total Assets,8730,7719,9687,8293,7805,6203
Accounts Payable,489.04,466.78,564.38,444.27,404.26,296.8
Accrued Expenses,672.37,558.24,521.3,487.88,482,377.71
Current Portion of Leases,19.81,16.74,17.54,8.5,4.95,3.97
Current Income Taxes Payable,28.12,4.01,14.96,13.32,30.4,23.43
Current Unearned Revenue,49.28,45.81,41.91,43.31,42.53,45.43
Other Current Liabilities,-,5.95,1.61,4.7,0.93,2.65
Total Current Liabilities,1259,1098,1162,1002,965.08,749.99
Long-Term Debt,-,373.95,-,-,-,-
Long-Term Leases,45.67,43.9,48.48,29.63,17.43,17.37
Long-Term Unearned Revenue,169.76,179.01,204.25,223.8,243.25,264.44
Other Long-Term Liabilities,64.53,67,43.36,12.66,12.08,10.07
Total Liabilities,1539,1761,1458,1268,1238,1042
Common Stock,5.65,5.63,5.61,6.42,3.2,3.19
Additional Paid-In Capital,5285,5145,4975,4777,4653,4538
Retained Earnings,8381,7449,5940,9001,7810,6432
Treasury Stock,-6389,-6372,-2566,-6600,-5829,-5815
Comprehensive Income & Other,-91.31,-269.49,-125.34,-159.07,-69.17,3.03
Shareholders' Equity,7191,5958,8229,7025,6567,5161
Total Liabilities & Equity,8730,7719,9687,8293,7805,6203
Total Debt,65.48,434.59,66.02,38.13,22.38,21.34
Net Cash (Debt),2007,1099,3187,2631,3054,2040
Net Cash Growth,165.14%,-65.53%,21.13%,-13.84%,49.66%,56.83%
Net Cash Per Share,2.04,1.08,3.01,2.47,2.85,1.91
Filing Date Shares Outstanding,976.43,973.16,1041,1045,1059,1056
Total Common Shares Outstanding,976.4,973.08,1042,1045,1059,1056
Working Capital,3171,2544,4427,3763,3717,2391
Book Value Per Share,7.37,6.12,7.90,6.73,6.20,4.89
Tangible Book Value,4441,3212,5384,4387,4163,2770
Tangible Book Value Per Share,4.55,3.30,5.17,4.20,3.93,2.62
Land,179.49,178.06,152.25,139.8,85.46,85.88
Buildings,384.77,280.66,211.95,163.89,148.97,156.62
Machinery,762.11,673.42,538.32,325.59,264.78,258.45
Construction In Progress,69.82,178.98,211.56,83.55,20.13,-
Leasehold Improvements,32.63,31.13,37.95,31.33,11.8,11.52
