Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,7659,7493,7140,6311,5541,4599
Revenue Growth (YoY),3.70%,4.94%,13.13%,13.89%,20.50%,9.47%
Cost of Revenue,3433,3444,3346,3136,2433,1875
Gross Profit,4227,4049,3794,3175,3109,2724
"Selling, General & Admin",2037,1991,1802,1588,1306,1091
Operating Expenses,2037,1991,1802,1588,1306,1091
Operating Income,2190,2057,1992,1587,1803,1633
Interest Expense,-1.03,-0.23,-0.26,-0.02,-0.02,-0.04
Interest & Investment Income,70.6,115,130,-,-,-
Currency Exchange Gain (Loss),-18.2,-26.4,-60.2,-37.9,0.3,-11.2
Other Non Operating Income (Expenses),-29,-29.21,0.2,25.17,3.67,4.24
EBT Excluding Unusual Items,2212,2117,2062,1574,1807,1626
Impairment of Goodwill,-86.3,-86.3,-,-,-,-
Asset Writedown,-40.8,-40.8,-38.7,-2.2,-,-
Other Unusual Items,-,-,45.38,-,-5.3,-0.2
Pretax Income,2085,1989,2068,1572,1801,1626
Income Tax Expense,511.46,480.41,437.49,380.34,423.94,216.56
Net Income,1573,1509,1631,1192,1377,1410
Net Income to Common,1573,1509,1631,1192,1377,1410
Net Income Growth,-6.74%,-7.48%,36.87%,-13.49%,-2.28%,27.24%
Shares Outstanding (Basic),974,1005,1045,1054,1058,1059
Shares Outstanding (Diluted),982,1013,1058,1066,1071,1070
Shares Change (YoY),-6.48%,-4.24%,-0.79%,-0.45%,0.16%,-2.16%
EPS (Basic),1.61,1.50,1.56,1.13,1.30,1.33
EPS (Diluted),1.60,1.49,1.54,1.12,1.29,1.32
EPS Growth,0.32%,-3.25%,37.50%,-13.18%,-2.27%,30.05%
Free Cash Flow,1855,1664,1496,698.97,1112,1315
Free Cash Flow Per Share,1.89,1.64,1.41,0.66,1.04,1.23
Gross Margin,55.18%,54.04%,53.14%,50.30%,56.10%,59.23%
Operating Margin,28.59%,27.46%,27.90%,25.14%,32.53%,35.52%
Profit Margin,20.54%,20.14%,22.84%,18.88%,24.86%,30.65%
Free Cash Flow Margin,24.22%,22.21%,20.96%,11.07%,20.06%,28.61%
EBITDA,2283,2138,2061,1648,1853,1690
EBITDA Margin,29.80%,28.53%,28.87%,26.11%,33.44%,36.76%
D&A For EBITDA,92.93,80.43,68.9,61.24,50.16,57.03
EBIT,2190,2057,1992,1587,1803,1633
EBIT Margin,28.59%,27.46%,27.90%,25.14%,32.53%,35.52%
Effective Tax Rate,24.53%,24.15%,21.15%,24.20%,23.53%,13.32%
Advertising Expenses,-,584.1,528.9,460.7,417.6,345.7
