Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,68077,51116,59940,53011,50819,48822
Market Cap Growth,36.40%,-14.72%,13.07%,4.32%,4.09%,42.88%
Enterprise Value,66070,50299,56984,50399,47902,47169
Last Close Price,69.72,52.56,57.61,50.77,48.02,46.24
PE Ratio,43.45,33.87,36.75,44.49,36.89,34.64
Forward PE,34.55,29.17,32.67,35.45,34.13,35.98
PS Ratio,8.87,6.82,8.40,8.40,9.17,10.62
PB Ratio,9.47,8.58,7.28,7.55,7.74,9.46
P/TBV Ratio,15.33,15.92,11.13,12.09,12.21,17.62
P/FCF Ratio,36.70,30.71,40.06,75.84,45.71,37.11
P/OCF Ratio,33.15,26.51,34.89,59.72,43.97,35.79
PEG Ratio,2.29,2.51,1.82,3.63,3.15,2.74
EV/Sales Ratio,8.63,6.71,7.98,7.99,8.64,10.26
EV/EBITDA Ratio,28.95,23.53,27.65,30.58,25.85,27.91
EV/EBIT Ratio,30.17,24.45,28.61,31.76,26.57,28.88
EV/FCF Ratio,35.62,30.22,38.08,72.10,43.08,35.86
Debt / Equity Ratio,0.01,0.07,0.01,0.01,0.00,0.00
Debt / EBITDA Ratio,0.03,0.20,0.03,0.02,0.01,0.01
Debt / FCF Ratio,0.04,0.26,0.04,0.06,0.02,0.02
Asset Turnover,0.91,0.86,0.79,0.78,0.79,0.81
Inventory Turnover,4.60,4.03,3.51,4.10,5.25,5.40
Quick Ratio,2.86,2.51,3.82,3.68,4.12,3.64
Current Ratio,3.52,3.32,4.81,4.76,4.85,4.19
Return on Equity (ROE),24.10%,21.27%,21.39%,17.53%,23.49%,30.21%
Return on Assets (ROA),16.30%,14.77%,13.85%,12.32%,16.09%,17.98%
Return on Capital (ROIC),19.65%,17.51%,16.21%,14.53%,19.14%,21.76%
Return on Capital Employed (ROCE),29.30%,31.10%,23.40%,21.80%,26.40%,30.00%
Earnings Yield,2.31%,2.95%,2.72%,2.25%,2.71%,2.89%
FCF Yield,2.72%,3.26%,2.50%,1.32%,2.19%,2.69%
Buyback Yield / Dilution,6.48%,4.24%,0.79%,0.45%,-0.16%,2.16%
