Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,54431,51383,21429,24889,14498,9117
Short-Term Investments,92258,86289,105374,92639,83123,84415
Cash & Short-Term Investments,146689,137672,126803,117528,97621,93532
Cash Growth,19.40%,8.57%,7.89%,20.39%,4.37%,29.80%
Accounts Receivable,5776,5669,6422,5003,5508,4576
Other Receivables,-,2464,2784,1374,1514,2043
Receivables,5776,8158,9252,6443,7064,6626
Inventory,591.76,571.55,695.37,993.64,964.73,591.51
Prepaid Expenses,-,3612,2949,3005,3945,3395
Restricted Cash,3731,3086,2777,2699,2877,3051
Other Current Assets,6162,224.47,215.84,934.76,648.65,635.4
Total Current Assets,162950,153325,142693,131603,113120,107831
"Property, Plant & Equipment",8447,9061,8824,7230,6478,5323
Long-Term Investments,2935,23231,22833,21518,24629,18341
Goodwill,-,1855,1855,2166,595.28,318.94
Other Intangible Assets,4111,5585,5960,6239,6725,8304
Long-Term Deferred Tax Assets,2190,1113,1560,1481,1298,1087
Other Long-Term Assets,27865,1803,2165,2483,743.16,606.24
Total Assets,208499,195992,185925,172761,153644,141875
Accounts Payable,695.41,720.55,881.02,1507,985.06,1134
Accrued Expenses,17717,12052,11275,10234,9000,8030
Short-Term Debt,11276,11805,19240,23876,19352,19505
Current Portion of Leases,-,171.61,259.49,259.05,334.4,330.85
Current Income Taxes Payable,3796,1740,1790,2116,3459,3286
Current Unearned Revenue,16967,15760,13718,12699,12307,10403
Other Current Liabilities,-,7419,6678,6138,5063,4055
Total Current Liabilities,50452,49668,53842,56829,50501,46743
Long-Term Debt,-,428,428,3655,1275,-
Long-Term Leases,-,412.6,555.83,672.64,732.13,474.88
Long-Term Deferred Tax Liabilities,2724,2173,2299,2126,1346,713.44
Other Long-Term Liabilities,1218,816.04,715.28,604.93,365.58,148.85
Total Liabilities,54395,53497,57841,63888,54220,48081
Common Stock,149587,2.63,2.71,2.71,2.79,2.79
Additional Paid-In Capital,-,9861,22605,22854,37916,27829
Retained Earnings,-,132288,113756,92353,78740,65391
Treasury Stock,-,-4473,-12694,-10911,-20502,-10446
Comprehensive Income & Other,-,1007,616.78,431.79,-828.07,-650.46
Total Common Equity,149587,138686,124286,104731,95328,82127
Minority Interest,4517,3809,3798,4142,4096,11667
Shareholders' Equity,154104,142494,128084,108873,99424,93794
Total Liabilities & Equity,208499,195992,185925,172761,153644,141875
Total Debt,11276,12817,20483,28462,21694,20310
Net Cash (Debt),135413,124855,106319,89065,75927,73222
Net Cash Growth,23.96%,17.43%,19.37%,17.30%,3.69%,33.72%
Net Cash Per Share,42.15,38.65,32.69,27.02,22.55,21.86
Filing Date Shares Outstanding,3189,3168,3211,3126,3101,3252
Total Common Shares Outstanding,3189,3168,3211,3126,3101,3252
Working Capital,112498,103657,88850,74774,62619,61088
Book Value Per Share,46.91,43.78,38.71,33.50,30.74,25.25
Tangible Book Value,145476,131245,116471,96325,88008,73504
Tangible Book Value Per Share,45.62,41.43,36.27,30.81,28.38,22.60
Buildings,-,6889,4063,3875,3677,2941
Machinery,-,6748,6758,6501,5856,4862
Construction In Progress,-,1696,3676,1587,653.24,784.38
Leasehold Improvements,-,197.23,311.16,304.37,287.51,191.83
