Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,93604,57417,56262,45542,65692,65775
Market Cap Growth,42.14%,2.05%,23.54%,-30.67%,-0.13%,-
Enterprise Value,75145,41819,43182,33803,56660,56260
Last Close Price,145.01,87.31,88.86,68.05,93.68,87.47
PE Ratio,97.63,14.11,13.56,15.45,24.76,35.60
PS Ratio,6.11,3.98,3.86,3.26,4.76,5.83
PB Ratio,4.35,2.94,3.12,2.89,4.20,4.58
P/TBV Ratio,4.61,3.19,3.43,3.26,4.74,5.84
P/FCF Ratio,14.75,10.91,12.08,12.27,17.89,18.02
P/OCF Ratio,14.40,10.56,11.29,11.34,16.74,17.25
EV/Sales Ratio,4.91,2.90,2.96,2.42,4.11,4.99
EV/EBITDA Ratio,14.71,9.54,9.95,10.37,18.28,20.41
EV/EBIT Ratio,15.62,10.32,11.05,11.88,21.92,25.26
EV/FCF Ratio,11.84,7.95,9.27,9.10,15.43,15.41
Debt / Equity Ratio,0.07,0.09,0.16,0.26,0.22,0.22
Debt / EBITDA Ratio,0.31,0.40,0.66,1.24,1.08,1.10
Debt / FCF Ratio,0.25,0.33,0.62,1.11,0.93,0.85
Asset Turnover,0.56,0.55,0.58,0.59,0.59,0.58
Inventory Turnover,69.28,62.34,47.84,44.66,52.22,55.85
Quick Ratio,3.02,2.94,2.53,2.18,2.07,2.14
Current Ratio,3.23,3.09,2.65,2.32,2.24,2.31
Return on Equity (ROE),24.45%,22.36%,24.78%,18.45%,17.57%,14.78%
Return on Assets (ROA),11.00%,9.68%,9.66%,7.52%,6.94%,7.16%
Return on Capital (ROIC),13.75%,12.17%,12.12%,9.49%,8.72%,8.89%
Return on Capital Employed (ROCE),21.80%,20.20%,21.00%,16.90%,15.90%,15.30%
Earnings Yield,5.10%,7.09%,7.37%,6.48%,4.04%,2.81%
FCF Yield,6.78%,9.16%,8.28%,8.15%,5.59%,5.55%
Dividend Yield,1.99%,0.59%,0.58%,0.41%,0.25%,0.18%
Payout Ratio,194.58%,37.60%,27.24%,33.06%,20.81%,35.48%
Buyback Yield / Dilution,1.11%,0.66%,1.33%,2.12%,-0.53%,-3.07%
Total Shareholder Return,3.10%,1.25%,1.91%,2.53%,-0.28%,-2.89%
