Fiscal Year,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Cash & Equivalents,11639,8589,7280,3389,1990,847
Short-Term Investments,45152,34621,18704,9907,19218,10714
Cash & Short-Term Investments,56791,43210,25984,13296,21208,11561
Cash Growth,63.19%,66.30%,95.43%,-37.31%,83.44%,6.09%
Receivables,27808,23065,9999,3827,4650,2429
Inventory,14962,10080,5282,5159,2605,1826
Prepaid Expenses,858,3771,3080,791,366,239
Total Current Assets,102219,80126,44345,23073,28829,16055
"Property, Plant & Equipment",11225,8076,5260,4845,3607,2856
Long-Term Investments,3799,3387,1321,299,266,144
Goodwill,5755,5188,4430,4372,4349,4193
Other Intangible Assets,755,807,1112,1676,2339,2737
Long-Term Deferred Tax Assets,13570,10979,6081,3396,1222,806
Other Long-Term Assets,3417,3038,3179,3521,3575,2000
Total Assets,140740,111601,65728,41182,44187,28791
Accounts Payable,9064,6310,2699,1193,1783,1149
Accrued Expenses,4381,848,675,530,409,297
Current Portion of Long-Term Debt,-,-,1250,1250,-,999
Current Portion of Leases,301,288,228,176,144,-
Current Income Taxes Payable,1910,881,296,467,132,-
Current Unearned Revenue,980,837,764,354,300,288
Other Current Liabilities,7621,8883,4719,2593,1567,1192
Total Current Liabilities,24257,18047,10631,6563,4335,3925
Long-Term Debt,8466,8463,8459,9703,10946,5964
Long-Term Leases,1831,1519,1119,902,741,634
Long-Term Unearned Revenue,1055,976,573,218,202,163
Long-Term Deferred Tax Liabilities,1351,886,462,247,245,241
Other Long-Term Liabilities,3649,2383,1506,1448,1106,971
Total Liabilities,40609,32274,22750,19081,17575,11898
Common Stock,24,24,25,2,3,3
Additional Paid-In Capital,11200,11237,13109,11971,10385,8719
Retained Earnings,88737,68038,29817,10171,16235,18908
Treasury Stock,-,-,-,-,-,-10756
Comprehensive Income & Other,170,28,27,-43,-11,19
Shareholders' Equity,100131,79327,42978,22101,26612,16893
Total Liabilities & Equity,140740,111601,65728,41182,44187,28791
Total Debt,10598,10270,11056,12031,11831,7597
Net Cash (Debt),46193,32940,14928,1265,9377,3964
Net Cash Growth,86.38%,120.66%,1080.08%,-86.51%,136.55%,-51.98%
Net Cash Per Share,1.87,1.33,0.60,0.05,0.37,0.16
Filing Date Shares Outstanding,24300,24400,25000,24700,25060,24800
Total Common Shares Outstanding,24347,24477,24640,24660,25060,24800
Working Capital,77962,62079,33714,16510,24494,12130
Book Value Per Share,4.11,3.24,1.74,0.90,1.06,0.68
Tangible Book Value,93621,73332,37436,16053,19924,9963
Tangible Book Value Per Share,3.85,3.00,1.52,0.65,0.80,0.40
Land,-,511,218,218,218,218
Buildings,-,2076,1816,1598,874,796
Machinery,-,7568,5200,4303,2852,1985
Construction In Progress,-,529,189,382,737,558
