Fiscal Year,TTM,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Revenue,165218,130497,60922,26974,26914,16675
Revenue Growth (YoY),71.55%,114.20%,125.86%,0.22%,61.40%,52.73%
Cost of Revenue,49818,32639,16621,11618,9439,6118
Gross Profit,115400,97858,44301,15356,17475,10557
"Selling, General & Admin",4036,3491,2654,2440,2166,1912
Research & Development,15384,12914,8675,7339,5268,3924
Operating Expenses,19420,16405,11329,9779,7434,5836
Operating Income,95980,81453,32972,5577,10041,4721
Interest Expense,-246,-247,-257,-262,-236,-184
Interest & Investment Income,2091,1786,866,267,29,57
Other Non Operating Income (Expenses),-14,4,-1,-3,7,4
EBT Excluding Unusual Items,97811,82996,33580,5579,9841,4598
Merger & Restructuring Charges,-,-,-,-1353,-,-189
Gain (Loss) on Sale of Investments,2839,1030,238,-45,100,-
Pretax Income,100650,84026,33818,4181,9941,4409
Income Tax Expense,14053,11146,4058,-187,189,77
Net Income,86597,72880,29760,4368,9752,4332
Net Income to Common,86597,72880,29760,4368,9752,4332
Net Income Growth,63.37%,144.89%,581.32%,-55.21%,125.11%,54.94%
Shares Outstanding (Basic),24458,24555,24690,24870,24960,24670
Shares Outstanding (Diluted),24655,24804,24940,25070,25350,25100
Shares Change (YoY),-0.99%,-0.55%,-0.52%,-1.10%,1.00%,1.54%
EPS (Basic),3.54,2.97,1.21,0.18,0.39,0.18
EPS (Diluted),3.51,2.94,1.19,0.17,0.39,0.17
EPS Growth,64.84%,147.06%,600.00%,-55.84%,122.54%,53.10%
Free Cash Flow,72023,60853,27021,3808,8132,4694
Free Cash Flow Per Share,2.92,2.45,1.08,0.15,0.32,0.19
Dividend Per Share,0.040,0.034,0.016,0.016,0.016,0.016
Dividend Growth,81.82%,112.50%,-,-,-,-
Gross Margin,69.85%,74.99%,72.72%,56.93%,64.93%,63.31%
Operating Margin,58.09%,62.42%,54.12%,20.67%,37.31%,28.31%
Profit Margin,52.41%,55.85%,48.85%,16.19%,36.23%,25.98%
Free Cash Flow Margin,43.59%,46.63%,44.35%,14.12%,30.21%,28.15%
EBITDA,98281,83317,34480,7121,11215,5819
EBITDA Margin,59.49%,63.85%,56.60%,26.40%,41.67%,34.90%
D&A For EBITDA,2301,1864,1508,1544,1174,1098
EBIT,95980,81453,32972,5577,10041,4721
EBIT Margin,58.09%,62.42%,54.12%,20.67%,37.31%,28.31%
Effective Tax Rate,13.96%,13.26%,12.00%,-,1.90%,1.75%
