Fiscal Year,Current,FY 2025,FY 2024,FY 2023,FY 2022,FY 2021
Market Capitalization,4380804,3492764,1507466,501183,571000,321626
Market Cap Growth,42.96%,131.70%,200.78%,-12.23%,77.53%,109.81%
Enterprise Value,4297432,3464502,1500212,499944,563529,319168
Last Close Price,181.16,142.59,61.00,20.35,22.80,12.95
PE Ratio,51.35,47.93,50.65,114.74,58.55,74.24
Forward PE,31.59,36.24,31.19,52.57,45.52,46.48
PS Ratio,26.82,26.77,24.74,18.58,21.22,19.29
PB Ratio,44.05,44.03,35.08,22.68,21.46,19.04
P/TBV Ratio,46.40,47.63,40.27,31.22,28.66,32.28
P/FCF Ratio,60.31,57.40,55.79,131.61,70.22,68.52
P/OCF Ratio,56.39,54.50,53.67,88.85,62.69,55.24
PEG Ratio,0.89,0.95,0.74,2.42,1.87,2.00
EV/Sales Ratio,26.01,26.55,24.63,18.53,20.94,19.14
EV/EBITDA Ratio,43.73,41.58,43.51,70.21,50.25,54.85
EV/EBIT Ratio,44.77,42.53,45.50,89.64,56.12,67.61
EV/FCF Ratio,59.67,56.93,55.52,131.29,69.30,68.00
Debt / Equity Ratio,0.11,0.13,0.26,0.54,0.45,0.45
Debt / EBITDA Ratio,0.11,0.12,0.32,1.64,1.04,1.27
Debt / FCF Ratio,0.15,0.17,0.41,3.16,1.46,1.62
Asset Turnover,1.46,1.47,1.14,0.63,0.74,0.72
Inventory Turnover,4.61,4.25,3.18,2.99,4.26,4.36
Quick Ratio,3.49,3.67,3.39,2.61,5.97,3.56
Current Ratio,4.21,4.44,4.17,3.52,6.65,4.09
Return on Equity (ROE),109.42%,119.18%,91.46%,17.93%,44.83%,29.78%
Return on Assets (ROA),53.09%,57.42%,38.55%,8.17%,17.20%,12.80%
Return on Capital (ROIC),67.06%,70.89%,46.75%,9.61%,19.94%,15.00%
Return on Capital Employed (ROCE),82.40%,87.10%,59.80%,16.10%,25.20%,19.00%
Earnings Yield,1.99%,2.09%,1.97%,0.87%,1.71%,1.35%
FCF Yield,1.66%,1.74%,1.79%,0.76%,1.42%,1.46%
Dividend Yield,0.02%,0.02%,0.03%,0.08%,0.07%,0.12%
Payout Ratio,1.14%,1.14%,1.33%,9.11%,4.09%,9.12%
Buyback Yield / Dilution,0.99%,0.55%,0.52%,1.10%,-1.00%,-1.54%
Total Shareholder Return,1.01%,0.57%,0.55%,1.18%,-0.93%,-1.41%
