Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,60630,76639,93403,77057,66029,50990
Market Cap Growth,-45.70%,-17.95%,21.21%,16.70%,29.49%,24.22%
Enterprise Value,45807,61056,80414,66767,57309,47783
Last Close Price,584.74,709.29,874.54,718.41,628.82,481.05
PE Ratio,14.74,17.37,23.63,17.76,8.18,14.51
Forward PE,14.91,15.19,19.36,17.29,11.00,14.28
PS Ratio,4.40,5.40,7.12,6.33,4.11,6.00
PB Ratio,2.03,2.61,3.60,3.40,3.52,4.63
P/TBV Ratio,2.12,2.72,3.75,3.54,3.52,4.63
P/FCF Ratio,15.73,20.91,24.10,17.42,10.11,25.45
P/OCF Ratio,12.78,17.34,20.33,15.37,9.32,19.48
PEG Ratio,2.22,0.95,4.75,-,-,1.55
EV/Sales Ratio,3.22,4.30,6.13,5.49,3.57,5.62
EV/EBITDA Ratio,10.26,13.19,17.28,12.51,6.18,12.25
EV/EBIT Ratio,11.58,14.73,19.00,13.37,6.37,13.04
EV/FCF Ratio,11.89,16.66,20.75,15.09,8.78,23.85
Debt / Equity Ratio,0.09,0.10,0.11,0.12,0.14,0.25
Debt / EBITDA Ratio,0.60,0.63,0.60,0.52,0.29,0.69
Debt / FCF Ratio,0.70,0.80,0.72,0.63,0.41,1.35
Asset Turnover,0.38,0.40,0.42,0.45,0.76,0.53
Inventory Turnover,2.46,2.51,2.51,2.37,2.74,2.26
Quick Ratio,3.57,3.86,4.82,4.16,2.98,2.86
Current Ratio,4.60,4.73,5.69,5.06,3.56,3.63
Return on Equity (ROE),15.34%,15.95%,16.26%,20.94%,54.21%,31.77%
Return on Assets (ROA),6.66%,7.31%,8.49%,11.42%,26.39%,14.33%
Return on Capital (ROIC),7.78%,8.49%,9.76%,13.31%,31.95%,17.95%
Return on Capital Employed (ROCE),11.50%,12.30%,14.30%,19.20%,41.80%,25.30%
Earnings Yield,7.35%,5.76%,4.23%,5.63%,12.23%,6.89%
FCF Yield,6.36%,4.78%,4.15%,5.74%,9.89%,3.93%
Buyback Yield / Dilution,1.75%,-1.23%,-0.18%,-1.16%,2.52%,-0.44%
