Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,41647,16139,16398,16253,17576,19384
Short-Term Investments,-,20424,12696,5932,131,-
Cash & Short-Term Investments,41647,36563,29094,22185,17707,19384
Cash Growth,23.77%,25.67%,31.14%,25.29%,-8.65%,209.25%
Accounts Receivable,4703,4255,3319,3116,1986,1903
Other Receivables,-,315,378,-,-,-
Receivables,4703,4570,3697,3116,1986,1903
Inventory,12276,12017,13626,12839,5757,4101
Prepaid Expenses,6027,4716,2656,2483,1305,1091
Restricted Cash,-,494,543,294,345,238
Total Current Assets,64653,58360,49616,40917,27100,26717
"Property, Plant & Equipment",54882,51501,45123,36635,31176,23375
Goodwill,-,244,253,194,200,207
Other Intangible Assets,388,150,178,215,257,313
Long-Term Accounts Receivable,-,1767,2125,1626,303,74
Long-Term Deferred Tax Assets,6637,6524,6733,328,-,-
Other Long-Term Assets,7175,3524,2590,2423,3095,1462
Total Assets,133735,122070,106618,82338,62131,52148
Accounts Payable,12819,12474,14431,15255,10025,6051
Accrued Expenses,12791,3785,4046,3773,2951,1632
Current Portion of Long-Term Debt,1924,2343,1975,1016,1088,1758
Current Portion of Leases,-,920,1070,971,869,660
Current Income Taxes Payable,-,1367,1204,1235,1122,777
Current Unearned Revenue,3756,3168,2864,1747,1447,1458
Other Current Liabilities,-,4764,3158,2712,2203,1912
Total Current Liabilities,31290,28821,28748,26709,19705,14248
Long-Term Debt,5778,5535,2682,1029,4254,8571
Long-Term Leases,-,4825,3846,2732,2662,2348
Long-Term Unearned Revenue,3746,3317,3251,2804,2052,1284
Long-Term Deferred Tax Liabilities,-,-,-,-,24,151
Other Long-Term Liabilities,12205,5892,4482,3166,1851,1867
Total Liabilities,53019,48390,43009,36440,30548,28469
Common Stock,79970,3,3,3,3,1
Additional Paid-In Capital,-,38371,34892,32177,29803,27260
Retained Earnings,-,35209,27882,12885,329,-5399
Comprehensive Income & Other,-,-670,-143,-361,54,363
Total Common Equity,79970,72913,62634,44704,30189,22225
Minority Interest,746,767,975,1194,1394,1454
Shareholders' Equity,80716,73680,63609,45898,31583,23679
Total Liabilities & Equity,133735,122070,106618,82338,62131,52148
Total Debt,7702,13623,9573,5748,8873,13337
Net Cash (Debt),33945,22940,19521,16437,8834,6047
Net Cash Growth,62.69%,17.51%,18.76%,86.06%,46.09%,-
Net Cash Per Share,9.64,6.56,5.60,4.73,2.61,1.86
Filing Date Shares Outstanding,3227,3217,3185,3164,3101,2880
Total Common Shares Outstanding,3227,3216,3185,3164,3099,2880
Working Capital,33363,29539,20868,14208,7395,12469
Book Value Per Share,24.78,22.67,19.67,14.13,9.74,7.72
Tangible Book Value,79582,72519,62203,44295,29732,21705
Tangible Book Value Per Share,24.66,22.55,19.53,14.00,9.59,7.54
Land,-,10677,9498,7751,4675,3662
Machinery,-,31908,28716,25114,20489,18030
Construction In Progress,-,6783,5791,4265,5577,1649
Leasehold Improvements,-,3688,3136,2366,1826,1421
