Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,95633,97690,96773,81462,53823,31536
Revenue Growth (YoY),-1.56%,0.95%,18.80%,51.35%,70.67%,28.31%
Cost of Revenue,79369,80240,79113,60609,40217,24906
Gross Profit,16264,17450,17660,20853,13606,6630
"Selling, General & Admin",5492,5150,4800,3946,4517,3188
Research & Development,5904,4540,3969,3075,2593,1491
Other Operating Expenses,9,101,-,140,-27,-
Operating Expenses,11403,9791,8769,7161,7083,4679
Operating Income,4861,7659,8891,13692,6523,1951
Interest Expense,-349,-350,-156,-191,-371,-748
Interest & Investment Income,1673,1569,1066,297,56,30
Currency Exchange Gain (Loss),57,57,122,-89,97,-114
Other Non Operating Income (Expenses),718,638,50,46,38,-8
EBT Excluding Unusual Items,6960,9573,9973,13755,6343,1111
Merger & Restructuring Charges,-332,-583,-,-36,-,-
Legal Settlements,-,-,-,-,-,43
Pretax Income,6628,8990,9973,13719,6343,1154
Income Tax Expense,1480,1837,-5001,1132,699,292
Earnings From Continuing Operations,5148,7153,14974,12587,5644,862
Minority Interest in Earnings,-60,-62,23,-31,-125,-141
Net Income,5088,7091,14997,12556,5519,721
Preferred Dividends & Other Adjustments,3,-39,-2,-27,-5,31
Net Income to Common,5085,7130,14999,12583,5524,690
Net Income Growth,-60.51%,-52.72%,19.44%,127.50%,665.47%,-
Shares Outstanding (Basic),3220,3197,3174,3130,2959,2798
Shares Outstanding (Diluted),3523,3498,3485,3475,3386,3249
Shares Change (YoY),0.94%,0.37%,0.29%,2.63%,4.22%,22.10%
EPS (Basic),1.58,2.23,4.73,4.02,1.87,0.25
EPS (Diluted),1.45,2.04,4.30,3.62,1.63,0.21
EPS Growth,-60.81%,-52.56%,18.74%,121.61%,678.13%,-
Free Cash Flow,6834,3581,4357,7561,4983,2711
Free Cash Flow Per Share,1.94,1.02,1.25,2.18,1.47,0.83
Gross Margin,17.01%,17.86%,18.25%,25.60%,25.28%,21.02%
Operating Margin,5.08%,7.84%,9.19%,16.81%,12.12%,6.19%
Profit Margin,5.32%,7.30%,15.50%,15.45%,10.26%,2.19%
Free Cash Flow Margin,7.15%,3.67%,4.50%,9.28%,9.26%,8.60%
EBITDA,10862,13027,13558,17235,9434,4273
EBITDA Margin,11.36%,13.33%,14.01%,21.16%,17.53%,13.55%
D&A For EBITDA,6001,5368,4667,3543,2911,2322
EBIT,4861,7659,8891,13692,6523,1951
EBIT Margin,5.08%,7.84%,9.19%,16.81%,12.12%,6.19%
Effective Tax Rate,22.33%,20.43%,-,8.25%,11.02%,25.30%
Revenue as Reported,95633,97690,96773,81462,53823,31536
