Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,1459641,1296350,789898,388972,1063564,668905
Market Cap Growth,82.70%,64.12%,103.07%,-63.43%,59.00%,787.12%
Enterprise Value,1425696,1276264,773037,375012,1059068,671006
Last Close Price,438.97,403.84,248.48,123.18,352.26,235.22
PE Ratio,287.05,181.82,52.66,30.91,192.54,969.43
Forward PE,219.23,129.45,69.84,23.74,125.57,178.36
PS Ratio,14.78,13.27,8.16,4.78,19.76,21.21
PB Ratio,17.71,17.59,12.42,8.48,33.67,28.25
P/TBV Ratio,18.34,17.88,12.70,8.78,35.77,30.82
P/FCF Ratio,213.59,362.01,181.29,51.45,213.44,246.74
P/OCF Ratio,92.69,86.87,59.59,26.42,92.51,112.55
PEG Ratio,9.99,15.45,4.16,0.81,2.32,1.19
EV/Sales Ratio,14.91,13.06,7.99,4.60,19.68,21.28
EV/EBITDA Ratio,131.26,97.97,57.02,21.76,112.26,157.03
EV/EBIT Ratio,293.29,166.64,86.95,27.39,162.36,343.93
EV/FCF Ratio,208.62,356.40,177.42,49.60,212.54,247.51
Debt / Equity Ratio,0.10,0.19,0.15,0.13,0.28,0.56
Debt / EBITDA Ratio,0.67,0.94,0.65,0.32,0.88,2.82
Debt / FCF Ratio,1.13,3.80,2.20,0.76,1.78,4.92
Asset Turnover,0.75,0.85,1.02,1.13,0.94,0.73
Inventory Turnover,5.92,6.26,5.98,6.52,8.16,6.51
Quick Ratio,1.48,1.43,1.14,0.95,1.00,1.49
Current Ratio,2.07,2.03,1.73,1.53,1.38,1.88
Return on Equity (ROE),6.80%,10.42%,27.35%,32.49%,20.43%,5.42%
Return on Assets (ROA),2.40%,4.19%,5.88%,11.85%,7.13%,2.82%
Return on Capital (ROIC),3.54%,5.96%,8.90%,18.58%,10.53%,4.08%
Return on Capital Employed (ROCE),4.70%,8.20%,11.40%,24.60%,15.40%,5.10%
Earnings Yield,0.35%,0.55%,1.90%,3.23%,0.52%,0.11%
FCF Yield,0.47%,0.28%,0.55%,1.94%,0.47%,0.40%
Buyback Yield / Dilution,-0.94%,-0.37%,-0.29%,-2.63%,-4.22%,-22.10%
