Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,2470759,2127627,1465428,1342814,1064990,660171
Short-Term Investments,280297,294174,221292,217599,139713,139587
Trading Asset Securities,-,11,223.4,125.2,13.5,2260
Cash & Short-Term Investments,2751056,2421812,1686943,1560538,1204717,802017
Cash Growth,26.97%,43.56%,8.10%,29.54%,50.21%,34.94%
Accounts Receivable,307814,272088,201938,231340,198301,146038
Other Receivables,-,0.2,71.9,69,61.5,50.6
Receivables,307814,272088,202010,231409,198363,146089
Inventory,288689,287869,250997,221149,193102,137353
Other Current Assets,88456,106583,54082,39801,10891,6726
Total Current Assets,3436015,3088352,2194033,2052897,1607073,1092185
"Property, Plant & Equipment",3769114,3275109,3104900,2735751,2007853,1583318
Long-Term Investments,148978,148867,129268,68608,29184,27617
Goodwill,-,6071,5796,5792,5379,5437
Other Intangible Assets,-,20212,16970,20207,21443,20332
Long-Term Deferred Tax Assets,-,65943,64176,69186,49154,25958
Other Long-Term Assets,-,87211,17054,12018,5217,5754
Total Assets,7354107,6691765,5532197,4964459,3725302,2760601
Accounts Payable,86386,74097,57204,56504,48723,41095
Accrued Expenses,678538,210938,172244,157143,108278,127832
Short-Term Debt,-,-,-,-,114921,88559
Current Portion of Long-Term Debt,76226,59858,36628,19315,4576,2601
Current Portion of Leases,-,3049,2811,2604,2177,1828
Current Income Taxes Payable,-,191569,128135,163139,78497,68657
Current Unearned Revenue,-,89435,52736,70807,40489,13775
Other Current Liabilities,434756,679709,493048,517054,360692,287551
Total Current Liabilities,1275906,1308656,942805,986564,758353,631898
Long-Term Debt,880433,958429,918283,839096,613380,256073
Long-Term Leases,-,28755,28682,29764,20764,20561
Pension & Post-Retirement Benefits,-,7581,9257,9321,11037,11914
Long-Term Deferred Tax Liabilities,-,3989,53.8,1031,1874,1730
Other Long-Term Liabilities,162190,105084,179249,180850,168212,2661
Total Liabilities,2318529,2412493,2078330,2046627,1573620,924837
Common Stock,259325,259327,259321,259304,259304,259304
Additional Paid-In Capital,73361,73261,69876,69330,64762,56347
Retained Earnings,4753531,3872973,3128640,2594891,1887803,1573840
Comprehensive Income & Other,-87910,38705,-28314,-20506,-62608,-54680
Total Common Equity,4998307,4244267,3429522,2903020,2149260,1834811
Minority Interest,37271,35005,24344,14813,2423,952.5
Shareholders' Equity,5035578,4279272,3453867,2917832,2151683,1835764
Total Liabilities & Equity,7354107,6691765,5532197,4964459,3725302,2760601
Total Debt,956659,1050091,986403,890779,755818,369622
Net Cash (Debt),1794397,1371721,700541,669759,448899,432396
Net Cash Growth,57.33%,95.81%,4.60%,49.20%,3.82%,7.66%
Net Cash Per Share,69.20,52.90,27.02,25.83,17.31,16.68
Filing Date Shares Outstanding,25930,25933,25932,25930,25929,25930
Total Common Shares Outstanding,25930,25933,25932,25930,25930,25930
Working Capital,2160109,1779696,1251228,1066333,848720,460287
Book Value Per Share,192.76,163.66,132.25,111.95,82.89,70.76
Tangible Book Value,4998307,4217984,3406756,2877021,2122438,1809043
Tangible Book Value Per Share,192.76,162.65,131.37,110.95,81.85,69.77
Land,-,13054,7622,7662,6488,3943
Buildings,-,959134,817823,637047,576598,522447
Machinery,-,5957638,5484811,4380971,4060903,3675868
Construction In Progress,-,1080284,908290,1336843,593156,223965
