Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Revenue,3631425,2894308,2161736,2263891,1587415,1339255
Revenue Growth (YoY),36.96%,33.89%,-4.51%,42.61%,18.53%,25.17%
Cost of Revenue,1489739,1269954,986625,915537,767878,628125
Gross Profit,2141686,1624354,1175111,1348355,819537,711130
"Selling, General & Admin",104997,96889,71464,63445,44488,35570
Research & Development,238802,204182,182370,163262,124735,109486
Other Operating Expenses,-165.3,79.7,-188.7,-422.3,59,-710
Operating Expenses,343633,301150,253645,226285,169282,144346
Operating Income,1798053,1323204,921466,1122070,650255,566784
Interest Expense,-10495,-10495,-11999,-11750,-5414,-2082
Interest & Investment Income,99150,87213,60294,22422,5709,9018
Earnings From Equity Investments,5304,4881,4800,7680,5513,3562
Currency Exchange Gain (Loss),10001,10001,-2685,4506,13663,-3303
Other Non Operating Income (Expenses),-2037,-7087,7936,398,-6511,9331
EBT Excluding Unusual Items,1899975,1407716,979810,1145325,663215,583311
Gain (Loss) on Sale of Investments,-725.9,-725.9,-493.9,-462.5,95.9,1436
Asset Writedown,-1151,-1151,-,-790.7,-274.4,-
Pretax Income,1898099,1405840,979317,1144072,663036,584746
Income Tax Expense,328557,248316,128289,150778,70155,73738
Earnings From Continuing Operations,1569542,1157524,851028,993295,592881,511008
Minority Interest in Earnings,2389,856.3,712.3,-371.3,-521.4,-264
Net Income,1571931,1158380,851740,992923,592359,510744
Net Income to Common,1571931,1158380,851740,992923,592359,510744
Net Income Growth,49.63%,36.00%,-14.22%,67.62%,15.98%,44.30%
Shares Outstanding (Basic),25928,25928,25929,25929,25930,25930
Shares Outstanding (Diluted),25930,25930,25929,25929,25930,25930
Shares Change (YoY),0.00%,0.00%,-,-0.00%,-,-
EPS (Basic),60.63,44.68,32.85,38.29,22.84,19.70
EPS (Diluted),60.62,44.67,32.85,38.29,22.84,19.70
EPS Growth,49.64%,35.99%,-14.21%,67.64%,15.96%,44.30%
Free Cash Flow,892219,870171,292151,527927,272965,315428
Free Cash Flow Per Share,34.41,33.56,11.27,20.36,10.53,12.16
Dividend Per Share,14.500,17.000,13.000,11.000,11.000,10.000
Dividend Growth,-9.38%,30.77%,18.18%,-,10.00%,5.26%
Gross Margin,58.98%,56.12%,54.36%,59.56%,51.63%,53.10%
Operating Margin,49.51%,45.72%,42.63%,49.56%,40.96%,42.32%
Profit Margin,43.29%,40.02%,39.40%,43.86%,37.32%,38.14%
Free Cash Flow Margin,24.57%,30.06%,13.51%,23.32%,17.20%,23.55%
EBITDA,2492073,1976850,1444889,1551476,1065770,892158
EBITDA Margin,68.63%,68.30%,66.84%,68.53%,67.14%,66.62%
D&A For EBITDA,694020,653647,523424,429407,415515,325374
EBIT,1798053,1323204,921466,1122070,650255,566784
EBIT Margin,49.51%,45.72%,42.63%,49.56%,40.96%,42.32%
Effective Tax Rate,17.31%,17.66%,13.10%,13.18%,10.58%,12.61%
