Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,1231272,850448,501917,378561,575441,489200
Market Cap Growth,53.49%,69.44%,32.58%,-34.21%,17.63%,70.51%
Enterprise Value,1174130,816627,484855,358782,561655,476951
Last Close Price,288.88,195.84,102.00,71.96,114.32,102.33
PE Ratio,29.05,24.07,18.05,11.71,26.92,26.91
PS Ratio,10.34,9.63,7.11,5.14,10.05,10.26
PB Ratio,7.45,6.52,4.45,3.99,7.41,7.49
P/TBV Ratio,7.51,6.61,4.51,4.04,7.51,7.60
P/FCF Ratio,42.45,32.04,52.64,22.03,58.42,43.57
P/OCF Ratio,17.30,15.27,12.38,7.22,14.34,16.71
EV/Sales Ratio,9.86,9.25,6.87,4.87,9.81,10.01
EV/EBITDA Ratio,14.36,13.54,10.28,7.10,14.61,15.02
EV/EBIT Ratio,19.91,20.23,16.12,9.82,23.94,23.64
EV/FCF Ratio,40.48,30.76,50.85,20.88,57.02,42.48
Debt / Equity Ratio,0.19,0.25,0.29,0.31,0.35,0.20
Debt / EBITDA Ratio,0.38,0.53,0.68,0.57,0.71,0.41
Debt / FCF Ratio,1.07,1.21,3.38,1.69,2.77,1.17
Asset Turnover,0.54,0.47,0.41,0.52,0.49,0.53
Inventory Turnover,5.12,4.71,4.18,4.42,4.65,5.70
Quick Ratio,2.40,2.06,2.00,1.82,1.85,1.50
Current Ratio,2.69,2.36,2.33,2.08,2.12,1.73
Return on Equity (ROE),34.66%,29.94%,26.71%,39.19%,29.74%,29.62%
Return on Assets (ROA),16.62%,13.53%,10.97%,16.14%,12.53%,14.10%
Return on Capital (ROIC),20.36%,16.93%,13.96%,20.88%,15.90%,17.66%
Return on Capital Employed (ROCE),29.60%,24.60%,20.10%,28.20%,21.90%,26.60%
Earnings Yield,4.19%,4.15%,5.54%,8.54%,3.72%,3.72%
FCF Yield,2.36%,3.12%,1.90%,4.54%,1.71%,2.30%
Dividend Yield,0.79%,0.27%,0.42%,0.50%,0.35%,0.35%
Payout Ratio,22.95%,31.34%,34.25%,28.73%,44.87%,50.77%
Buyback Yield / Dilution,-0.00%,-0.00%,0.00%,0.00%,-,-
Total Shareholder Return,0.79%,0.26%,0.42%,0.50%,0.35%,0.35%
