Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Cash & Equivalents,4972,4570,10369,10504,6795,5988
Short-Term Investments,1411,1546,849.2,274.5,729.9,670.7
Cash & Short-Term Investments,6383,6116,11218,10779,7525,6659
Cash Growth,10.13%,-45.48%,4.08%,43.24%,13.00%,74.85%
Accounts Receivable,1894,1609,1563,1442,1137,885.4
Receivables,1894,1609,1563,1442,1137,885.4
Inventory,1499,1205,738.8,460.6,353.1,280.8
Prepaid Expenses,639.9,459.2,537.6,431.6,442.1,228.6
Restricted Cash,9.8,-,-,-,5.1,0.7
Other Current Assets,2.6,206.5,86.1,121.9,98.6,79
Total Current Assets,10428,9596,14144,13235,9561,8133
"Property, Plant & Equipment",2649,2585,1453,1456,1424,1284
Long-Term Investments,5712,5173,2498,112.2,-,-
Goodwill,1088,1088,1088,1088,1002,1002
Other Intangible Assets,435.5,825.9,839.9,603.6,400,400
Long-Term Deferred Tax Assets,2712,2331,1812,1247,934.5,882.8
Long-Term Deferred Charges,-,62.6,58.9,40.2,-,-
Other Long-Term Assets,1012,871.9,836.4,369.4,110.8,49.3
Total Assets,24037,22533,22730,18151,13433,11752
Accounts Payable,442.3,413,364.9,303.9,195,155.1
Accrued Expenses,3271,2628,2556,2003,1467,1301
Current Portion of Leases,-,92.3,83.7,89.4,80.2,52.9
Current Income Taxes Payable,-,161.1,99.5,123.3,211.3,104.2
Current Unearned Revenue,146.9,206.8,170.3,159.6,171.7,191.5
Other Current Liabilities,278.5,63.9,273.2,62.5,16.5,73
Total Current Liabilities,4138,3565,3547,2742,2142,1878
Long-Term Leases,1527,1657,724.7,810.3,887.2,889.5
Other Long-Term Liabilities,1196,901.8,877.7,685.8,303.3,298
Total Liabilities,6861,6124,5150,4238,3333,3065
Common Stock,2.6,2.6,2.6,2.6,2.5,2.6
Additional Paid-In Capital,5988,6672,7450,7387,6881,7894
Retained Earnings,11286,9607,10142,6523,3201,858.7
Comprehensive Income & Other,-101.1,127.8,-14.3,0.8,15.9,-68.5
Total Common Equity,17175,16410,17580,13913,10100,8687
Shareholders' Equity,17175,16410,17580,13913,10100,8687
Total Liabilities & Equity,24037,22533,22730,18151,13433,11752
Total Debt,1527,1750,808.4,899.7,967.4,942.4
Net Cash (Debt),10501,9474,12908,9991,6558,5717
Net Cash Growth,13.46%,-26.60%,29.19%,52.36%,14.71%,82.34%
Net Cash Per Share,40.63,36.74,49.55,38.56,25.23,21.70
Filing Date Shares Outstanding,256.39,256.79,258.31,257.09,254.58,259.96
Total Common Shares Outstanding,256.29,256.94,257.7,257.01,254.48,259.89
Working Capital,6290,6032,10597,10493,7419,6256
Book Value Per Share,67.01,63.87,68.22,54.13,39.69,33.42
Tangible Book Value,15652,14496,15653,12221,8698,7285
Tangible Book Value Per Share,61.07,56.42,60.74,47.55,34.18,28.03
Land,-,33.1,33.1,33.1,33.1,33.1
Buildings,-,461.2,928.6,903.1,892.5,876.1
Machinery,-,1061,911.9,788.6,701,605.3
Leasehold Improvements,-,737.6,474.6,410.9,363.5,234.6
