Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Operating Revenue,11388,11020,9869,8931,7573,6203
Other Revenue,30.7,-,-,-,1,2.9
Revenue,11419,11020,9869,8931,7574,6206
Revenue Growth (YoY),10.46%,11.66%,10.51%,17.91%,22.06%,49.08%
Cost of Revenue,5419,5161,4425,3608,2842,2381
Gross Profit,6000,5859,5444,5323,4732,3825
"Selling, General & Admin",1570,1464,1137,944.7,840.1,770.5
Operating Expenses,1570,1464,1137,944.7,840.1,770.5
Operating Income,4429,4395,4308,4378,3892,3054
Interest Expense,-17,-30.6,-44.1,-54.8,-61.5,-58.2
Interest & Investment Income,503.7,598.1,614.7,144.6,4.9,22.2
Currency Exchange Gain (Loss),-15.8,-27.3,-24.6,-15.1,-13.9,-16.1
Other Non Operating Income (Expenses),-17.7,-49.3,9.3,-0.6,1.7,0.8
EBT Excluding Unusual Items,4882,4886,4863,4453,3824,3003
Gain (Loss) on Sale of Investments,-2.7,-9.5,-7.5,-149.1,17.1,311.9
Asset Writedown,-379,-,-,-13,-,-
Other Unusual Items,-2.2,0.5,51.6,57.5,3.1,-13.1
Pretax Income,4374,248.5,4380,4232,2730,3117
Income Tax Expense,736.4,784.1,760.2,910.4,388.3,405.2
Earnings From Continuing Operations,3638,-535.6,3620,3322,2342,2712
Net Income to Company,3638,-535.6,3620,3322,2342,2712
Net Income,3638,-535.6,3620,3322,2342,2712
Net Income to Common,3638,-535.6,3620,3322,2342,2712
Net Income Growth,-,-,8.96%,41.84%,-13.63%,130.43%
Shares Outstanding (Basic),257,258,258,256,258,260
Shares Outstanding (Diluted),258,258,261,259,260,263
Shares Change (YoY),0.19%,-1.00%,0.54%,-0.31%,-1.33%,1.04%
EPS (Basic),14.14,-2.08,14.05,12.97,9.09,10.44
EPS (Diluted),14.07,-2.08,13.89,12.82,9.01,10.29
EPS Growth,-,-,8.35%,42.29%,-12.44%,128.16%
Free Cash Flow,3500,-790.3,3337,3925,2409,2994
Free Cash Flow Per Share,13.54,-3.06,12.81,15.15,9.27,11.37
Gross Margin,52.54%,53.17%,55.16%,59.60%,62.48%,61.63%
Operating Margin,38.79%,39.88%,43.65%,49.03%,51.39%,49.21%
Profit Margin,31.86%,-4.86%,36.68%,37.20%,30.92%,43.70%
Free Cash Flow Margin,30.65%,-7.17%,33.81%,43.95%,31.80%,48.24%
EBITDA,4604,4577,4477,4527,4018,3164
EBITDA Margin,40.32%,41.53%,45.36%,50.69%,53.05%,50.98%
D&A For EBITDA,174.6,182,169.5,148.3,125.6,109.5
EBIT,4429,4395,4308,4378,3892,3054
EBIT Margin,38.79%,39.88%,43.65%,49.03%,51.39%,49.21%
Effective Tax Rate,16.84%,315.53%,17.36%,21.51%,14.22%,13.00%
Revenue as Reported,398.7,-,-,-,7574,6206
