Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020
Market Capitalization,109335,103707,104849,74127,55834,61457
Market Cap Growth,-6.96%,-1.09%,41.44%,32.76%,-9.15%,9.16%
Enterprise Value,98834,94253,91965,65181,49750,55853
Last Close Price,426.44,402.70,406.89,288.78,219.60,236.34
PE Ratio,30.31,-,28.97,22.31,23.84,22.66
Forward PE,22.14,22.66,24.44,18.83,16.42,21.78
PS Ratio,9.61,9.41,10.62,8.30,7.37,9.90
PB Ratio,6.36,6.32,5.96,5.33,5.53,7.08
P/TBV Ratio,6.99,7.15,6.70,6.07,6.42,8.44
P/FCF Ratio,31.24,-,31.42,18.89,23.18,20.53
P/OCF Ratio,28.43,-,29.64,17.95,21.12,18.89
PEG Ratio,0.15,1.21,1.92,0.58,1.62,1.06
EV/Sales Ratio,8.66,8.55,9.32,7.30,6.57,9.00
EV/EBITDA Ratio,21.47,20.59,20.54,14.40,12.38,17.66
EV/EBIT Ratio,22.31,21.45,21.35,14.89,12.78,18.29
EV/FCF Ratio,28.24,-,27.56,16.61,20.66,18.66
Debt / Equity Ratio,0.09,0.11,0.05,0.07,0.10,0.11
Debt / EBITDA Ratio,0.32,0.37,0.18,0.20,0.24,0.30
Debt / FCF Ratio,0.44,-,0.24,0.23,0.40,0.32
Asset Turnover,0.52,0.49,0.48,0.57,0.60,0.62
Inventory Turnover,4.49,5.31,7.38,8.87,8.97,10.62
Quick Ratio,2.00,2.17,3.60,4.46,4.04,4.02
Current Ratio,2.52,2.69,3.99,4.83,4.46,4.33
Return on Equity (ROE),22.77%,-3.15%,22.99%,27.67%,24.93%,36.71%
Return on Assets (ROA),12.53%,12.14%,13.17%,17.33%,19.32%,19.02%
Return on Capital (ROIC),16.09%,15.03%,16.22%,21.15%,23.51%,23.29%
Return on Capital Employed (ROCE),22.30%,23.20%,22.50%,28.40%,34.50%,30.90%
Earnings Yield,3.33%,-0.52%,3.45%,4.48%,4.20%,4.41%
FCF Yield,3.20%,-0.76%,3.18%,5.29%,4.31%,4.87%
Buyback Yield / Dilution,-0.19%,1.00%,-0.54%,0.31%,1.33%,-1.04%
