Symbol,Basic Reports Check,Benjamin Graham Check
AAON,🟢,🔴
ACLS,🟢,🔴
ACMR,🔴,🔴
AFG,🔴,🔴
AIT,🔴,🔴
ALG,🔴,🔴
AMAT,🟢,🔴
AMD,🔴,🔴
ANET,🟢,🔴
APAM,🔴,🔴
APPF,🔴,🔴
ASR,🟢,🔴
ATAT,🟢,🔴
AU,🔴,🔴
BCPC,🔴,🔴
BELFB,🔴,🔴
BLK,🔴,🔴
BMI,🔴,🔴
BRC,🔴,🔴
BRK.A,🔴,🟢
BRK.B,🔴,🟢
BSM,🟢,🔴
CDNS,🟢,🔴
CF,🔴,🔴
CNS,🔴,🔴
COCO,🔴,🔴
COIN,🔴,🔴
COLM,🔴,🔴
CPRT,🟢,🔴
CPRX,🟢,🔴
CRUS,🟢,🔴
CSW,🟢,🔴
CTSH,🔴,🔴
CVCO,🟢,🔴
DCI,🔴,🔴
DECK,🟢,🔴
DHI,🔴,🔴
DOCS,🟢,🔴
DORM,🔴,🔴
DOV,🔴,🔴
DRD,🟢,🔴
DRS,🔴,🔴
EPAM,🔴,🔴
ESNT,🔴,🔴
EW,🟢,🔴
EXEL,🔴,🔴
EXLS,🔴,🔴
EXPO,🟢,🔴
FAST,🟢,🔴
FELE,🟢,🔴
FHI,🔴,🔴
FIZZ,🟢,🔴
FN,🔴,🔴
FSS,🟢,🔴
GGG,🟢,🔴
GNTX,🟢,🔴
GRBK,🟢,🟢
GRMN,🟢,🔴
HLNE,🟢,🔴
IEX,🔴,🔴
INFY,🟢,🔴
INGR,🔴,🔴
IPAR,🟢,🔴
ISRG,🔴,🔴
KAI,🔴,🔴
KEN,🔴,🔴
KEYS,🔴,🔴
KFY,🔴,🔴
KSPI,🟢,🔴
LEN,🟢,🔴
LEN.B,🟢,🔴
LFUS,🔴,🔴
LOGI,🔴,🔴
LOPE,🔴,🔴
LPX,🔴,🔴
LRCX,🟢,🔴
LRN,🔴,🔴
LULU,🟢,🔴
MGRC,🔴,🔴
MHO,🟢,🟢
MKL,🔴,🔴
MLI,🟢,🔴
MNST,🟢,🔴
MPWR,🟢,🔴
MTG,🔴,🔴
MTH,🟢,🟢
MWA,🔴,🔴
MZTI,🔴,🔴
NBIX,🟢,🔴
NMIH,🔴,🔴
NTES,🟢,🟢
NUE,🔴,🔴
NVDA,🟢,🔴
NVR,🟢,🔴
OLED,🟢,🔴
OLLI,🔴,🔴
ON,🟢,🟢
PHM,🟢,🟢
PIPR,🔴,🔴
PJT,🔴,🔴
PLAB,🔴,🔴
PLUS,🔴,🔴
POWL,🟢,🔴
REGN,🔴,🔴
RJF,🟢,🔴
RMD,🟢,🔴
RS,🟢,🔴
SEIC,🟢,🔴
SII,🔴,🔴
SKY,🟢,🔴
SNA,🟢,🔴
SSD,🟢,🔴
STLD,🟢,🟢
TGS,🔴,🔴
TMHC,🟢,🟢
TOL,🟢,🟢
TPH,🟢,🟢
TPL,🟢,🔴
TROW,🔴,🔴
TSEM,🔴,🔴
TSLA,🟢,🔴
TSM,🟢,🟢
UFPI,🔴,🔴
UMC,🟢,🟢
UNM,🔴,🔴
USLM,🟢,🔴
UTHR,🟢,🔴
VEEV,🟢,🔴
VRTX,🔴,🔴
WDFC,🟢,🔴
WHD,🟢,🔴
WIT,🔴,🔴
WSO,🔴,🔴
WSO.B,🔴,🔴
WST,🟢,🔴
WTS,🟢,🔴
WWD,🔴,🔴
YETI,🔴,🔴
ZM,🔴,🔴
