Report Path,Symbol,Basic Reports Check,Benjamin Graham Check,Ken Fisher Check
data/AAON/report.md,AAON,🟢 PASS,🔴 FAIL,🔴 FAIL
data/ACLS/report.md,ACLS,🟢 PASS,🔴 FAIL,🔴 FAIL
data/ACMR/report.md,ACMR,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/AFG/report.md,AFG,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/AIT/report.md,AIT,🔴 FAIL,🟢 PASS,🔴 FAIL
data/ALG/report.md,ALG,🔴 FAIL,🟢 PASS,🔴 FAIL
data/AMAT/report.md,AMAT,🟢 PASS,🔴 FAIL,🔴 FAIL
data/AMD/report.md,AMD,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/ANET/report.md,ANET,🟢 PASS,🔴 FAIL,🔴 FAIL
data/APAM/report.md,APAM,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/APPF/report.md,APPF,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/ASR/report.md,ASR,🟢 PASS,🟢 PASS,🟢 PASS
data/ATAT/report.md,ATAT,🟢 PASS,🟢 PASS,🔴 FAIL
data/AU/report.md,AU,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/BCPC/report.md,BCPC,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/BELFB/report.md,BELFB,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/BLK/report.md,BLK,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/BMI/report.md,BMI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/BRC/report.md,BRC,🔴 FAIL,🔴 FAIL,🟢 PASS
data/BRK.A/report.md,BRK.A,🔴 FAIL,🟢 PASS,🔴 FAIL
data/BRK.B/report.md,BRK.B,🔴 FAIL,🟢 PASS,🔴 FAIL
data/BSM/report.md,BSM,🟢 PASS,🟢 PASS,🔴 FAIL
data/CDNS/report.md,CDNS,🟢 PASS,🔴 FAIL,🔴 FAIL
data/CF/report.md,CF,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/CNS/report.md,CNS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/COCO/report.md,COCO,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/COIN/report.md,COIN,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/COLM/report.md,COLM,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/CPRT/report.md,CPRT,🟢 PASS,🔴 FAIL,🔴 FAIL
data/CPRX/report.md,CPRX,🟢 PASS,🟢 PASS,🔴 FAIL
data/CRUS/report.md,CRUS,🟢 PASS,🔴 FAIL,🟢 PASS
data/CSW/report.md,CSW,🟢 PASS,🔴 FAIL,🔴 FAIL
data/CTSH/report.md,CTSH,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/CVCO/report.md,CVCO,🟢 PASS,🟢 PASS,🔴 FAIL
data/DCI/report.md,DCI,🔴 FAIL,🟢 PASS,🔴 FAIL
data/DECK/report.md,DECK,🟢 PASS,🟢 PASS,🔴 FAIL
data/DHI/report.md,DHI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/DOCS/report.md,DOCS,🟢 PASS,🔴 FAIL,🔴 FAIL
data/DORM/report.md,DORM,🔴 FAIL,🟢 PASS,🔴 FAIL
data/DOV/report.md,DOV,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/DRD/report.md,DRD,🟢 PASS,🔴 FAIL,🔴 FAIL
data/DRS/report.md,DRS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/EPAM/report.md,EPAM,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/ESNT/report.md,ESNT,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/EW/report.md,EW,🟢 PASS,🔴 FAIL,🔴 FAIL
data/EXEL/report.md,EXEL,🔴 FAIL,🟢 PASS,🟢 PASS
data/EXLS/report.md,EXLS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/EXPO/report.md,EXPO,🟢 PASS,🔴 FAIL,🔴 FAIL
data/FAST/report.md,FAST,🟢 PASS,🔴 FAIL,🔴 FAIL
data/FELE/report.md,FELE,🟢 PASS,🟢 PASS,🟢 PASS
data/FHI/report.md,FHI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/FIZZ/report.md,FIZZ,🟢 PASS,🔴 FAIL,🔴 FAIL
data/FN/report.md,FN,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/FSS/report.md,FSS,🟢 PASS,🔴 FAIL,🔴 FAIL
data/GGG/report.md,GGG,🟢 PASS,🔴 FAIL,🔴 FAIL
data/GMAB/report.md,GMAB,🟢 PASS,🔴 FAIL,🟢 PASS
data/GNTX/report.md,GNTX,🟢 PASS,🔴 FAIL,🔴 FAIL
data/GRBK/report.md,GRBK,🟢 PASS,🔴 FAIL,🔴 FAIL
data/GRMN/report.md,GRMN,🟢 PASS,🔴 FAIL,🔴 FAIL
data/HLNE/report.md,HLNE,🟢 PASS,🔴 FAIL,🔴 FAIL
data/IEX/report.md,IEX,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/INFY/report.md,INFY,🟢 PASS,🔴 FAIL,🔴 FAIL
data/INGR/report.md,INGR,🔴 FAIL,🟢 PASS,🔴 FAIL
data/IPAR/report.md,IPAR,🟢 PASS,🔴 FAIL,🔴 FAIL
data/ISRG/report.md,ISRG,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/KAI/report.md,KAI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/KEN/report.md,KEN,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/KEYS/report.md,KEYS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/KFY/report.md,KFY,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/KSPI/report.md,KSPI,🟢 PASS,🔴 FAIL,🔴 FAIL
data/LEN/report.md,LEN,🟢 PASS,🔴 FAIL,🔴 FAIL
data/LEN.B/report.md,LEN.B,🟢 PASS,🔴 FAIL,🔴 FAIL
data/LFUS/report.md,LFUS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/LOGI/report.md,LOGI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/LOPE/report.md,LOPE,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/LPX/report.md,LPX,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/LRCX/report.md,LRCX,🟢 PASS,🔴 FAIL,🔴 FAIL
data/LRN/report.md,LRN,🔴 FAIL,🟢 PASS,🔴 FAIL
data/LULU/report.md,LULU,🟢 PASS,🔴 FAIL,🔴 FAIL
data/MGRC/report.md,MGRC,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/MHO/report.md,MHO,🟢 PASS,🔴 FAIL,🔴 FAIL
data/MKL/report.md,MKL,🔴 FAIL,🔴 FAIL,🟢 PASS
data/MLI/report.md,MLI,🟢 PASS,🟢 PASS,🟢 PASS
data/MNST/report.md,MNST,🟢 PASS,🔴 FAIL,🔴 FAIL
data/MPWR/report.md,MPWR,🟢 PASS,🔴 FAIL,🔴 FAIL
data/MTG/report.md,MTG,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/MTH/report.md,MTH,🟢 PASS,🔴 FAIL,🔴 FAIL
data/MWA/report.md,MWA,🔴 FAIL,🟢 PASS,🔴 FAIL
data/MZTI/report.md,MZTI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/NBIX/report.md,NBIX,🟢 PASS,🔴 FAIL,🔴 FAIL
data/NMIH/report.md,NMIH,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/NTES/report.md,NTES,🟢 PASS,🟢 PASS,🔴 FAIL
data/NUE/report.md,NUE,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/NVDA/report.md,NVDA,🟢 PASS,🔴 FAIL,🔴 FAIL
data/NVR/report.md,NVR,🟢 PASS,🔴 FAIL,🔴 FAIL
data/OLED/report.md,OLED,🟢 PASS,🔴 FAIL,🔴 FAIL
data/OLLI/report.md,OLLI,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/ON/report.md,ON,🟢 PASS,🟢 PASS,🔴 FAIL
data/PHM/report.md,PHM,🟢 PASS,🔴 FAIL,🔴 FAIL
data/PIPR/report.md,PIPR,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/PJT/report.md,PJT,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/PLAB/report.md,PLAB,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/PLUS/report.md,PLUS,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/POWL/report.md,POWL,🟢 PASS,🔴 FAIL,🟢 PASS
data/REGN/report.md,REGN,🔴 FAIL,🔴 FAIL,🔴 FAIL
data/RJF/report.md,RJF,🟢 PASS,🔴 FAIL,🔴 FAIL
data/RMD/report.md,RMD,🟢 PASS,🔴 FAIL,🔴 FAIL
data/RS/report.md,RS,🟢 PASS,🟢 PASS,🔴 FAIL
